Maquina,Rodada,Date,Time,Origem_Arquivo,Relógios núcleo (avg) [MHz],Relógios efetivos núcleo (avg) [MHz],Uso total da CPU [%],Carga do núcleo da GPU [%],CPU Inteira [°C],CPU Inteira [°C].1,Núcleo máximo [°C],Estrangulamento térmico do núcleo (avg) [Yes/Não],Distância do núcleo para TjMAX (avg) [°C],Potência total da CPU [W],IA: Package-Level RAPL/PBM PL1 [Yes/Não],IA: Package-Level RAPL/PBM PL2 PL3 [Yes/Não],Limite de desempenho - Térmico [Yes/Não],Relógio da memória [MHz],Taxa de leituras [MB/s],Taxa de gravações [MB/s],Potência das linhas GPU (avg) [W],GPU Clock [MHz].1,GPU Clock [MHz],Limite térmico da GPU [°C]
Máquina B,5,17.6.2026,13:48:3.430,maqB_rodada_05.csv,2563.7,1917.8,76.1,0.0,76,73,76,Não,25,16.729,Não,Não,,1330.1,0.0,0.003,0.0,0.0,300.0,0.0
Máquina B,5,17.6.2026,13:48:5.450,maqB_rodada_05.csv,1386.6,286.7,11.5,0.0,60,60,58,Não,43,22.481,Não,Não,,1330.1,0.0,0.057,0.0,0.0,300.0,0.0
Máquina B,5,17.6.2026,13:48:7.454,maqB_rodada_05.csv,1256.9,45.8,3.7,0.0,59,59,57,Não,44,4.329,Não,Não,,1330.1,0.0,0.0,0.0,0.0,300.0,0.0
Máquina B,5,17.6.2026,13:48:9.450,maqB_rodada_05.csv,2693.4,738.0,30.3,0.0,84,82,81,Não,23,2.479,Não,Não,,1330.1,0.04,0.126,0.0,0.0,300.0,0.0
Máquina B,5,17.6.2026,13:48:11.462,maqB_rodada_05.csv,1546.2,1048.8,38.1,0.0,60,61,59,Não,42,9.591,Não,Não,,1330.1,0.0,0.038,0.0,0.0,300.0,0.0
Máquina B,5,17.6.2026,13:48:13.469,maqB_rodada_05.csv,1306.8,66.8,3.7,0.0,59,59,57,Não,44,14.4,Não,Não,,1330.1,0.0,0.067,0.0,0.0,300.0,0.0
Máquina B,5,17.6.2026,13:48:15.480,maqB_rodada_05.csv,1316.8,47.7,3.6,0.0,58,59,57,Não,44,3.002,Não,Não,,1330.1,0.0,0.071,0.0,0.0,300.0,0.0
Máquina B,5,17.6.2026,13:48:17.478,maqB_rodada_05.csv,1266.9,1263.2,48.2,0.0,62,62,61,Não,41,2.493,Não,Não,,1330.1,0.001,0.039,0.0,0.0,300.0,0.0
Máquina B,5,17.6.2026,13:48:19.456,maqB_rodada_05.csv,1286.9,54.9,3.8,0.0,58,59,57,Não,44,15.632,Não,Não,,1330.1,0.0,0.04,0.0,0.0,300.0,0.0
Máquina B,5,17.6.2026,13:48:21.480,maqB_rodada_05.csv,1346.7,56.5,4.5,0.0,59,59,56,Não,45,2.446,Não,Não,,1330.1,0.0,0.076,0.0,0.0,300.0,0.0
Máquina B,5,17.6.2026,13:48:23.501,maqB_rodada_05.csv,2733.3,398.5,14.4,0.0,82,75,84,Não,20,2.745,Não,Não,,1330.1,0.0,0.0,0.0,0.0,300.0,0.0
Máquina B,5,17.6.2026,13:48:25.506,maqB_rodada_05.csv,1655.9,584.1,23.3,0.0,58,58,57,Não,44,7.749,Não,Não,,1330.1,0.0,0.174,0.0,0.0,300.0,0.0
Máquina B,5,17.6.2026,13:48:27.508,maqB_rodada_05.csv,1426.5,52.2,4.4,0.0,58,59,56,Não,45,9.357,Não,Não,,1330.1,0.0,0.0,0.0,0.0,300.0,0.0
Máquina B,5,17.6.2026,13:48:29.505,maqB_rodada_05.csv,2204.6,335.0,15.5,0.0,77,73,77,Não,25,2.694,Não,Não,,1330.1,0.0,0.073,0.0,0.0,300.0,0.0
Máquina B,5,17.6.2026,13:48:31.508,maqB_rodada_05.csv,1256.9,1366.3,51.2,0.0,59,59,57,Não,44,5.55,Não,Não,,1330.1,0.0,0.004,0.0,0.0,300.0,0.0
Máquina B,5,17.6.2026,13:48:33.500,maqB_rodada_05.csv,1466.4,50.2,3.7,0.0,58,58,55,Não,45,18.829,Não,Não,,1330.1,0.0,0.005,0.0,0.0,300.0,0.0
Máquina B,5,17.6.2026,13:48:35.502,maqB_rodada_05.csv,1396.6,48.4,3.2,0.0,58,58,55,Não,46,2.565,Não,Não,,1330.1,0.0,0.04,0.0,0.0,300.0,0.0
Máquina B,5,17.6.2026,13:48:37.544,maqB_rodada_05.csv,2055.0,289.6,13.5,0.0,69,64,69,Não,33,2.526,Não,Não,,1330.1,0.04,0.36,0.0,0.0,300.0,0.0
Máquina B,5,17.6.2026,13:48:39.568,maqB_rodada_05.csv,1117.3,429.4,26.4,0.0,58,58,57,Não,44,6.225,Não,Não,,1330.1,0.227,0.769,0.0,0.0,300.0,0.0
Máquina B,5,17.6.2026,13:48:41.547,maqB_rodada_05.csv,1137.2,353.9,20.0,0.0,59,59,57,Não,44,7.612,Não,Não,,1330.1,1.148,2.61,0.0,0.0,300.0,0.0
Máquina B,5,17.6.2026,13:48:43.523,maqB_rodada_05.csv,1875.4,300.2,19.4,0.0,62,60,63,Não,40,7.502,Não,Não,,1330.1,0.173,0.617,0.0,0.0,300.0,0.0
Máquina B,5,17.6.2026,13:48:45.543,maqB_rodada_05.csv,1276.9,274.2,13.0,0.0,59,58,56,Não,44,6.409,Não,Não,,1330.1,0.104,0.583,0.0,0.0,300.0,0.0
Máquina B,6,17.6.2026,16:36:20.056,maqB_rodada_06.csv,1755.7,53.8,4.8,0.0,47,49,48,Não,53,2.43,Não,Não,,1330.1,0.024,0.182,0.0,0.0,300.0,0.0
Máquina B,6,17.6.2026,16:36:22.044,maqB_rodada_06.csv,1566.2,106.7,6.3,0.0,48,48,48,Não,53,2.245,Não,Não,,1330.1,0.581,0.221,0.0,0.0,300.0,0.0
Máquina B,6,17.6.2026,16:36:24.058,maqB_rodada_06.csv,1775.7,378.5,21.0,0.0,50,50,50,Não,51,3.234,Não,Não,,1330.1,2.82,3.601,0.0,0.0,300.0,0.0
Máquina B,6,17.6.2026,16:36:26.069,maqB_rodada_06.csv,1396.6,101.6,6.8,0.0,49,49,48,Não,53,7.846,Não,Não,,1330.1,0.008,0.318,0.0,0.0,300.0,0.0
Máquina B,6,17.6.2026,16:36:28.058,maqB_rodada_06.csv,2035.5,198.5,9.1,0.0,52,48,52,Não,51,3.546,Não,Não,,1330.4,18.08,0.309,0.0,0.0,300.0,0.0
Máquina B,6,17.6.2026,16:36:30.066,maqB_rodada_06.csv,2533.8,279.3,10.6,0.0,52,55,53,Não,51,5.754,Não,Não,,1330.1,3.278,0.377,0.0,0.0,300.0,0.0
Máquina B,6,17.6.2026,16:36:32.068,maqB_rodada_06.csv,2045.0,412.2,13.2,0.0,65,65,65,Não,42,5.571,Não,Não,,1330.1,36.514,0.028,0.0,0.0,300.0,0.0
Máquina B,6,17.6.2026,16:36:34.076,maqB_rodada_06.csv,2454.0,419.8,12.8,0.0,66,64,66,Não,44,11.819,Não,Não,,1330.1,0.106,0.034,0.0,0.0,300.0,0.0
Máquina B,6,17.6.2026,16:36:36.077,maqB_rodada_06.csv,2483.9,362.6,10.2,0.0,61,59,61,Não,43,12.602,Não,Não,,1330.1,0.008,0.055,0.0,0.0,300.0,0.0
Máquina B,6,17.6.2026,16:36:38.085,maqB_rodada_06.csv,2254.5,373.8,10.4,0.0,65,61,65,Não,43,11.721,Não,Não,,1330.1,0.055,0.107,0.0,0.0,300.0,0.0
Máquina B,6,17.6.2026,16:36:40.083,maqB_rodada_06.csv,1955.2,490.4,16.9,0.0,63,62,62,Não,40,13.287,Não,Não,,1330.1,9.834,0.34,0.0,0.0,300.0,0.0
Máquina B,6,17.6.2026,16:36:42.115,maqB_rodada_06.csv,1875.4,524.4,22.3,0.0,61,62,62,Não,41,10.712,Não,Não,,1330.1,16.024,0.118,0.0,0.0,300.0,0.0
Máquina B,6,17.6.2026,16:36:44.107,maqB_rodada_06.csv,1027.5,509.4,36.3,0.0,55,56,55,Não,46,10.712,Não,Não,,1330.1,8.9,0.506,0.0,0.0,300.0,0.0
Máquina B,6,17.6.2026,16:36:46.080,maqB_rodada_06.csv,1596.1,261.5,19.2,0.0,58,56,58,Não,44,8.52,Não,Não,,1330.1,13.217,0.668,0.0,0.0,300.0,0.0
Máquina B,6,17.6.2026,16:36:48.082,maqB_rodada_06.csv,1626.0,138.9,10.7,0.0,54,54,54,Não,47,5.622,Não,Não,,1330.1,0.765,0.828,0.0,0.0,300.0,0.0
Máquina B,6,17.6.2026,16:36:50.089,maqB_rodada_06.csv,2234.5,396.8,16.2,0.0,67,67,66,Não,37,3.867,Não,Não,,1330.1,18.034,0.102,0.0,0.0,300.0,0.0
Máquina B,6,17.6.2026,16:36:52.090,maqB_rodada_06.csv,2334.3,386.5,11.0,0.0,64,68,64,Não,40,9.215,Não,Não,,1330.1,3.511,0.141,0.0,0.0,300.0,0.0
Máquina B,6,17.6.2026,16:36:54.098,maqB_rodada_06.csv,2224.6,402.2,12.1,0.0,66,68,66,Não,40,10.619,Não,Não,,1330.1,0.045,0.175,0.0,0.0,300.0,0.0
Máquina B,6,17.6.2026,16:36:56.089,maqB_rodada_06.csv,2174.7,365.9,10.1,0.0,69,69,70,Não,40,9.61,Não,Não,,1330.1,0.0,0.018,0.0,0.0,300.0,0.0
