Maquina,Rodada,Média - Relógio da memória [MHz],Desvio Padrão - Relógio da memória [MHz],Mediana - Relógio da memória [MHz],Média - Taxa de leituras [MB/s],Desvio Padrão - Taxa de leituras [MB/s],Mediana - Taxa de leituras [MB/s],Média - Taxa de gravações [MB/s],Desvio Padrão - Taxa de gravações [MB/s],Mediana - Taxa de gravações [MB/s]
Máquina A,1,2593.6066666666666,,2593.6066666666666,0.1692,,0.1692,0.41613333333333336,,0.41613333333333336
Máquina A,2,2593.7214285714285,,2593.7214285714285,7.4316071428571435,,7.4316071428571435,0.3654285714285715,,0.3654285714285715
Máquina A,3,2593.7115384615386,,2593.7115384615386,8.556939102564103,,8.556939102564103,1.2552660256410255,,1.2552660256410255
Máquina A,4,2593.713422818792,,2593.713422818792,5.542731543624161,,5.542731543624161,1.2761644295302013,,1.2761644295302013
Máquina A,5,2593.711182108626,,2593.711182108626,3.168392971246006,,3.168392971246006,1.1406964856230033,,1.1406964856230033
Máquina A,6,2593.714,,2593.714,4.884096666666667,,4.884096666666667,1.28451,,1.28451
Máquina A,7,2593.7029411764706,,2593.7029411764706,3.3632549019607842,,3.3632549019607842,0.2692320261437909,,0.2692320261437909
Máquina A,8,2593.7052631578945,,2593.7052631578945,4.760190789473685,,4.760190789473685,0.20310855263157893,,0.20310855263157893
Máquina A,9,2593.7130990415335,,2593.7130990415335,5.999111821086262,,5.999111821086262,2.7075942492012777,,2.7075942492012777
Máquina A,10,2593.6993569131832,,2593.6993569131832,3.704176848874598,,3.704176848874598,1.722279742765273,,1.722279742765273
Máquina A,11,2593.7156351791527,,2593.7156351791527,3.7851791530944623,,3.7851791530944623,0.9158697068403909,,0.9158697068403909
Máquina A,12,2593.7052805280528,,2593.7052805280528,3.8963795379537958,,3.8963795379537958,0.37183828382838285,,0.37183828382838285
Máquina A,13,2593.7185758513933,,2593.7185758513933,3.609640866873065,,3.609640866873065,1.008095975232198,,1.008095975232198
Máquina A,14,2593.7200668896317,,2593.7200668896317,4.211073578595317,,4.211073578595317,0.949458193979933,,0.949458193979933
Máquina A,15,2593.709316770186,,2593.709316770186,9.255267080745341,,9.255267080745341,3.023108695652174,,3.023108695652174
Máquina A,16,2593.69932885906,,2593.69932885906,4.387359060402685,,4.387359060402685,1.5548825503355705,,1.5548825503355705
Máquina A,17,2593.7079999999996,,2593.7079999999996,3.621456666666667,,3.621456666666667,0.7721466666666666,,0.7721466666666666
Máquina A,18,2593.7154098360656,,2593.7154098360656,14.630862295081966,,14.630862295081966,3.5940622950819674,,3.5940622950819674
Máquina A,19,2593.7174342105263,,2593.7174342105263,3.6135657894736846,,3.6135657894736846,0.5490822368421052,,0.5490822368421052
Máquina A,20,2593.705723905724,,2593.705723905724,2.253010101010101,,2.253010101010101,0.20756565656565656,,0.20756565656565656
Máquina B,1,1330.1,,1330.1,3.4673170731707317,,3.4673170731707317,0.759570731707317,,0.759570731707317
Máquina B,2,1330.1017441860463,,1330.1017441860463,0.08315116279069769,,0.08315116279069769,0.11282558139534883,,0.11282558139534883
Máquina B,3,1330.1,,1330.1,2.0507624309392263,,2.0507624309392263,0.3293756906077348,,0.3293756906077348
Máquina B,4,1330.1,,1330.1,0.01261904761904762,,0.01261904761904762,0.11133333333333334,,0.11133333333333334
Máquina B,5,1330.1,,1330.1,0.030764705882352944,,0.030764705882352944,0.10747058823529411,,0.10747058823529411
Máquina B,6,1330.1017647058823,,1330.1017647058823,1.647194117647059,,1.647194117647059,0.17191176470588238,,0.17191176470588238
Máquina B,7,1330.1034482758619,,1330.1034482758619,0.008436781609195402,,0.008436781609195402,0.05968390804597701,,0.05968390804597701
Máquina B,8,1330.1016759776535,,1330.1016759776535,0.05100558659217876,,0.05100558659217876,0.21231284916201115,,0.21231284916201115
Máquina B,9,1330.1031914893617,,1330.1031914893617,0.015861702127659576,,0.015861702127659576,0.11861702127659575,,0.11861702127659575
Máquina B,10,1330.101775147929,,1330.101775147929,0.006071005917159763,,0.006071005917159763,0.06932544378698224,,0.06932544378698224
Máquina B,11,1330.1,,1330.1,2.298194117647059,,2.298194117647059,0.7423117647058823,,0.7423117647058823
Máquina B,12,1330.1017543859648,,1330.1017543859648,0.7429005847953216,,0.7429005847953216,0.8787543859649123,,0.8787543859649123
Máquina B,13,1330.1035294117646,,1330.1035294117646,0.3191529411764706,,0.3191529411764706,0.0857,,0.0857
Máquina B,14,1330.1011834319524,,1330.1011834319524,0.24501775147928995,,0.24501775147928995,0.19891124260355028,,0.19891124260355028
Máquina B,15,1330.1016759776535,,1330.1016759776535,1.6235698324022345,,1.6235698324022345,0.2516256983240223,,0.2516256983240223
Máquina B,16,1330.1053892215568,,1330.1053892215568,0.07587425149700598,,0.07587425149700598,0.10404191616766467,,0.10404191616766467
Máquina B,17,1330.1035087719297,,1330.1035087719297,0.014087719298245613,,0.014087719298245613,0.08509941520467836,,0.08509941520467836
Máquina B,18,1330.1017964071855,,1330.1017964071855,0.019179640718562874,,0.019179640718562874,0.15347305389221555,,0.15347305389221555
Máquina B,19,1330.1071856287424,,1330.1071856287424,0.00692814371257485,,0.00692814371257485,0.06634730538922155,,0.06634730538922155
Máquina B,20,1330.110650887574,,1330.110650887574,0.012059171597633134,,0.012059171597633134,0.08962721893491124,,0.08962721893491124
Máquina F,1,1596.1015444015443,,1596.1015444015443,0.06466023166023166,,0.06466023166023166,0.1745057915057915,,0.1745057915057915
Máquina F,2,1596.103041825095,,1596.103041825095,0.0125893536121673,,0.0125893536121673,0.0589467680608365,,0.0589467680608365
Máquina F,3,1596.1030303030302,,1596.1030303030302,0.8902272727272726,,0.8902272727272726,0.08479166666666667,,0.08479166666666667
Máquina F,4,1596.1038961038962,,1596.1038961038962,0.048129870129870134,,0.048129870129870134,0.07185714285714286,,0.07185714285714286
Máquina F,5,1596.1,,1596.1,0.04140996168582375,,0.04140996168582375,0.043674329501915715,,0.043674329501915715
Máquina F,6,1596.1026058631921,,1596.1026058631921,4.0317752442996735,,4.0317752442996735,12.299514657980456,,12.299514657980456
Máquina F,7,1596.101515151515,,1596.101515151515,0.057401515151515155,,0.057401515151515155,0.21627272727272726,,0.21627272727272726
Máquina F,8,1596.1014925373133,,1596.1014925373133,0.013511194029850746,,0.013511194029850746,0.07774626865671641,,0.07774626865671641
Máquina F,9,1596.1,,1596.1,0.16211940298507463,,0.16211940298507463,1.1835932835820895,,1.1835932835820895
Máquina F,10,1596.1,,1596.1,0.02420610687022901,,0.02420610687022901,0.17383587786259544,,0.17383587786259544
Máquina F,11,1596.1015267175571,,1596.1015267175571,0.013389312977099237,,0.013389312977099237,0.06799618320610687,,0.06799618320610687
Máquina F,12,1596.1,,1596.1,0.1898187311178248,,0.1898187311178248,0.10725981873111783,,0.10725981873111783
Máquina F,13,1596.1,,1596.1,0.0022956204379562042,,0.0022956204379562042,0.11347445255474452,,0.11347445255474452
Máquina F,14,1596.1016032064126,,1596.1016032064126,0.25511623246492987,,0.25511623246492987,0.643254509018036,,0.643254509018036
