P-core 3 [°C],P-core 1 T1 C0 Ocupação [%],PCH Temperatura [°C],Memória física utilizada [MB],Time,P-core 2 T0 Uso [%],GPU Core (NVVDD) Saida de Energia [W].1,E-core 7 C1 Ocupação [%],Potência das linhas GPU (avg) [W],E-core 4 Relógio [MHz],Core C0 Ocupação (avg) [%],E-core 6 T0 Relógio efetivo [MHz],P-core 1 [°C],Potência de núcleo GT [W],E-core 7 T0 Utilização [%],E-core 7 Distância para TjMAX [°C],Atividade de leitura [%],GPU Core (NVVDD) Entrada de energia (sum) [W],P-core 2 T0 Utilização [%],Relógios núcleo (avg) [MHz],P-core 2 T0 Relógio efetivo [MHz],SPD Hub Temperatura [°C],P-core 1 T0 C0 Ocupação [%],Uso de memória GPU [%],Leia total [MB],P-core 0 C7 Ocupação [%],E-core 5 [°C],Distância do núcleo para TjMAX (avg) [°C],E-core 7 [°C],P-core 0 T0 Uso [%],CPU Inteira [°C],iGPU VID [V],Gravar total [MB],Temperatura do disco [°C],Potência total da CPU [W],P-core 1 T0 Relógio efetivo [MHz],Memória GPU alocada [MB],P-core 1 T1 Uso [%],Memória virtual disponível [MB],P-core 3 T0 Uso [%],P-core 0 [°C],P-core 0 C6 Ocupação [%],Core C7 Ocupação (avg) [%],E-core 5 T0 Utilização [%],P-core 2 C7 Ocupação [%],P-core 1 Relógio [MHz],Temperatura de ponto quente da GPU [°C],P-core 0 Distância para TjMAX [°C],P-core 2 VID [V],Taxa de download atual [KB/s],P-core 3 C1 Ocupação [%],E-core 7 T0 C0 Ocupação [%],E-core 6 Distância para TjMAX [°C],Taxa de upload atual [KB/s],Taxa de leituras [MB/s],E-core 7 T0 Relógio efetivo [MHz],P-core 2 T1 C0 Ocupação [%],GPU Render/Computing Uso [%],P-core 0 T0 Utilização [%],Uso máximo de CPU / thread [%],Memória física disponível [MB],E-core 6 T0 Utilização [%],E-core 4 [°C],Package C6 Ocupação [%],Memória virtual comprometida [MB],Carga da memória virtual [%],Utilização do arquivo de paginação [%],CPU Inteira [°C].1,E-core 4 Relação [x],P-core 3 T1 Utilização [%],Core C6 Ocupação (avg) [%],P-core 0 T1 Utilização [%],GPU Potência [W],P-core 3 Relação [x],P-core 3 Distância para TjMAX [°C],GPU PCIe +3 3V Entrada de energia (est) [W],Package C3 Ocupação [%],P-core 3 T1 C0 Ocupação [%],P-core 2 Relação [x],E-core 4 T0 Utilização [%],E-core 5 C1 Ocupação [%],Atividade de gravação [%],P-core 3 T1 Relógio efetivo [MHz],Memória GPU disponível [MB],Temperatura de junção da memória GPU [°C],P-core 1 C6 Ocupação [%],P-core 2 [°C],Atividade total [%],Potência do System Agent [W],Potência de núcleos IA [W],Taxa de carga [W],Relógios efetivos núcleo (avg) [MHz],E-core 5 Relógio [MHz],E-core 5 T0 C0 Ocupação [%],CPU IA Cores [°C],E-core 6 C1 Ocupação [%],E-core 7 C6 Ocupação [%],Page File Used [MB],Potência total do sistema [W],GPU Core Voltage [V],GPU 12VHPWR Potência [W],P-core 1 Distância para TjMAX [°C],E-core 4 Distância para TjMAX [°C],E-core 5 C6 Ocupação [%],E-core 5 Relação [x],P-core 3 T0 C0 Ocupação [%],E-core 6 C6 Ocupação [%],P-core 0 T1 C0 Ocupação [%],Utilização de D3D GPU [%].1,E-core 6 VID [V],P-core 0 T0 Relógio efetivo [MHz],Temperatura do disco 3 [°C],P-core 2 T0 C0 Ocupação [%],Relógio de vídeo GPU [MHz],GPU Crossbar Relógio [MHz],E-core 4 T0 Uso [%],P-core 0 Relógio [MHz],P-core 3 T1 Uso [%],P-core 3 C7 Ocupação [%],P-core 1 C1 Ocupação [%],E-core 7 T0 Uso [%],Núcleo máximo [°C],VR VCC Temperatura (SVID) [°C],Utilização de D3D GPU [%],E-core 5 T0 Uso [%],P-core 1 T0 Utilização [%],Total download [MB],Potência do restante do chip [W],GPU FBVDD Tensão de entrada [V],E-core 6 [°C],P-core 2 C6 Ocupação [%],Core C1 Ocupação (avg) [%],Utilização do núcleo (avg) [%],Relógio de memória GPU [MHz],Uso do núcleo (avg) [%],GPU Clock [MHz].1,P-core 2 Distância para TjMAX [°C],VR VCC Corrente (SVID IOUT) [A],Package C2 Ocupação [%],P-core 0 Relação [x],P-core 2 T1 Uso [%],E-core 5 Distância para TjMAX [°C],Fonte PP de entrada GPU Potência (sum) [W],GPU D3D Uso (avg) [%],Uso total da GPU [%],Temperatura do disco 2 [°C],Utilizações de D3D GPU (avg) [%],GPU Core Temperatura [°C],E-core 5 T0 Relógio efetivo [MHz],P-core 3 Relógio [MHz],P-core 0 C1 Ocupação [%],P-core 1 C7 Ocupação [%],GPU FBVDD Voltagemm de saída [V],E-core 7 VID [V],P-core 2 C1 Ocupação [%],IGPU Potência [W],Voltagem da bateria [V],Uncore Relação [x],PCI Express Error Counters (avg) [],P-core 0 T1 Uso [%],P-core 3 T0 Utilização [%],Relação do relógio do núcleo (avg) [x],P-core 2 T1 Relógio efetivo [MHz],E-core 4 T0 Relógio efetivo [MHz],Date,E-core 4 VID [V],Temperaturas centrais (avg) [°C],GPU 12VHPWR Voltagem [V],Total upload [MB],E-core 4 C1 Ocupação [%],Memória dinâmica D3D GPU [MB],E-core 6 T0 C0 Ocupação [%],Carga da memória física [%],GPU Core (NVVDD) Saida de Energia [W],P-core 2 T1 Utilização [%],E-core 4 T0 C0 Ocupação [%],P-core 1 Relação [x],Velocidade do link PCIe [GT/s],GPU FBVDD Saida de Energia [W],Package C8 Ocupação [%],Uso total da CPU [%],Core VIDs (avg) [V],Ring/LLC Relógio [MHz],CPU GT Cores (gráficos) [°C],P-core 0 T0 C0 Ocupação [%],Taxa de gravações [MB/s],E-core 4 C6 Ocupação [%],GPU Clock [MHz],P-core 3 C6 Ocupação [%],Recovery Count [],Uncore VID [V],E-core 7 Relógio [MHz],Relógio de memória GPU [MHz].1,GPU FBVDD Entrada de energia [W],P-core 1 T1 Utilização [%],E-core 6 Relógio [MHz],Temperatura GPU [°C],Memória dedicada D3D GPU [MB],Limite térmico da GPU [°C],P-core 1 VID [V],P-core 0 T1 Relógio efetivo [MHz],P-core 3 VID [V],E-core 5 VID [V],Memória dinâmica D3D GPU [MB].1,E-core 6 Relação [x],E-core 7 Relação [x],P-core 1 T1 Relógio efetivo [MHz],Utilização total da CPU [%],P-core 3 T0 Relógio efetivo [MHz],P-core 0 VID [V],Relógio efetivo médio [MHz],P-core 2 Relógio [MHz],E-core 6 T0 Uso [%],P-core 1 T0 Uso [%]
41,18.8,42.0,6236,21:17:44.912,6.9,0.0,0.0,4.236,1097.3,2.9,0.4,44,0.003,1.7,56,0.1,0.0,5.1,1296.8,117.2,43.5,0.7,0.0,11158,98.4,44,56,44,0.0,45,0.0,1976,43,4.004,7.4,0,17.6,12237,4.2,43,0.0,80.7,0.1,80.9,1496.3,0.0,57,0.669,0.0,0.0,3.0,56,0.0,0.081,31.9,0.0,0.2,0.2,17.6,1659,0.0,44,6.4,8458,40.8,2.4,46,11.0,0.0,49.3,0.0,0.0,13.0,59,0.0,5.7,0.0,14.0,1.3,0.0,0.6,0.3,0,0.0,0.0,44,0.7,2.48,1.094,41.059,38.8,1097.3,0.2,45,0.0,96.7,311,1.772,0.0,0.0,56,56,99.8,11.0,2.1,99.9,0.1,0.9,0.708,4.2,47,7.9,0.0,0.0,0.0,1496.3,0.0,97.0,29.0,2.0,44,49,0.0,0.0,0.6,57,0.104,0.0,44,0.0,4.8,1.7,0.0,3.1,300.0,56,1.875,12.3,15.0,0.0,56,0.0,0.0,0.6,43,0.2,45,1.7,1296.8,1.1,46.5,0.0,0.689,8.1,3.487,16.876,9.0,0,0.0,1.0,13.0,0.5,23.8,21.6.2026,0.688,44,0.0,2,0.0,0,0.0,78.9,0.0,0.0,2.2,15.0,0.0,0.0,15.3,3.1,0.687,897.8,46,0.3,4.444,97.7,0.0,0.0,0,0.648,1097.3,36.0,0.0,10.6,1396.6,0.0,0,0.0,0.687,0.6,0.669,0.688,546,14.0,11.0,254.5,1.7,23.6,0.698,43.4,1396.6,0.0,6.8
42,18.2,42.0,6237,21:17:45.937,6.3,0.0,0.0,4.236,1097.3,3.0,0.4,44,0.003,3.8,57,0.0,0.0,3.0,1122.3,66.9,43.5,0.7,0.0,11158,99.6,44,57,43,0.9,45,0.0,1976,43,3.522,6.4,0,18.2,12239,3.4,43,0.0,77.2,0.1,87.9,1197.1,0.0,57,0.697,0.4,0.0,6.7,57,0.3,0.0,70.7,0.0,0.3,0.1,18.2,1658,0.0,44,1.8,8456,40.8,2.4,45,11.0,0.0,48.9,0.0,0.0,12.0,58,0.0,11.7,0.0,12.0,0.6,0.0,0.2,0.4,0,0.0,0.0,44,0.2,2.296,0.83,41.042,34.6,1097.3,0.1,44,0.0,92.9,311,1.579,0.0,0.0,56,56,99.8,11.0,2.8,99.9,0.0,1.0,0.689,1.1,47,5.7,0.0,0.0,4.8,997.6,0.9,96.1,51.7,7.3,44,49,0.0,0.9,0.6,57,0.1,0.0,43,0.0,6.8,1.6,0.0,3.8,350.0,56,1.875,7.8,10.0,0.9,56,0.0,0.0,0.6,43,0.2,45,0.8,1197.1,0.0,25.3,0.0,0.689,3.1,4.248,16.876,4.0,0,0.9,1.5,11.2,0.5,11.4,21.6.2026,0.688,43,0.0,2,0.0,0,0.0,78.9,0.0,0.0,1.1,12.0,0.0,0.0,1.6,3.8,0.69,399.0,45,0.2,0.103,98.7,0.0,0.0,0,0.643,1097.3,42.0,0.0,9.1,1097.3,0.0,0,0.0,0.695,0.4,0.687,0.689,546,11.0,11.0,221.7,1.6,35.0,0.683,34.5,1197.1,0.9,0.0
50,18.2,42.0,6423,21:17:46.943,37.7,0.0,0.0,4.236,1097.3,6.7,0.6,56,0.004,3.7,53,9.4,0.0,60.8,2481.4,1566.1,43.5,0.5,0.0,11195,93.4,47,51,47,0.0,56,0.0,1976,43,4.27,6.4,0,17.1,11828,14.7,46,0.0,65.7,0.1,41.3,1396.6,0.0,54,1.07,0.0,2.6,5.6,53,0.0,38.821,64.9,0.0,0.1,0.4,37.7,1472,0.0,47,4.3,8867,42.8,2.4,66,11.0,0.0,49.3,0.0,0.0,44.0,50,0.0,0.4,0.0,44.0,0.7,0.0,0.1,0.7,0,0.0,1.4,50,9.5,2.854,0.964,41.067,237.6,2294.4,0.1,66,0.0,94.0,311,1.98,0.0,0.0,44,53,99.8,23.0,15.6,99.9,0.0,0.4,0.931,9.6,48,38.5,0.0,0.0,0.0,4090.0,0.5,81.1,29.1,5.0,56,48,0.0,2.1,0.5,57,0.113,0.0,47,0.1,7.0,9.4,0.0,7.1,300.0,50,13.125,5.4,41.0,0.0,53,0.0,0.0,0.3,43,0.1,45,1.5,4389.3,5.6,47.2,0.0,1.021,18.4,9.012,16.879,39.0,0,0.5,24.9,24.9,0.8,10.9,21.6.2026,0.95,49,0.0,2,0.0,0,0.0,81.3,0.0,0.0,0.9,14.0,0.0,0.0,11.2,7.1,1.007,3890.5,45,0.6,0.072,98.9,0.0,0.0,0,0.983,1097.3,36.0,0.0,21.5,1097.3,0.0,0,0.0,1.02,0.8,1.045,0.926,546,11.0,11.0,542.2,9.4,646.4,1.097,278.5,4389.3,0.5,6.5
68,27.0,42.0,6590,21:17:47.962,58.5,0.0,0.0,4.236,2992.7,10.2,0.5,58,0.002,2.2,50,0.0,0.0,97.0,3167.3,2513.4,43.5,0.2,0.0,11195,90.2,50,47,50,8.0,75,0.0,1976,43,9.992,4.2,0,26.8,11806,22.2,46,0.0,55.6,0.1,0.0,4289.5,0.0,54,0.943,0.2,0.2,3.2,50,0.2,0.0,39.4,0.0,0.4,13.2,58.5,1305,0.0,50,0.0,8888,42.9,2.4,68,30.0,0.0,51.2,0.1,0.0,45.0,32,0.0,0.0,0.0,41.0,1.5,0.0,0.0,0.5,0,0.0,14.2,52,0.0,2.705,6.813,41.05,406.2,3092.4,0.1,68,0.0,96.4,311,3.439,0.0,0.0,42,50,99.8,31.0,22.2,99.9,0.0,1.3,0.928,340.1,46,58.8,0.0,0.0,2.2,2294.4,0.0,76.4,0.1,3.1,68,49,0.0,0.0,0.3,57,0.161,0.0,50,1.8,4.9,15.8,0.0,10.4,300.0,48,15.625,0.0,23.0,4.3,50,0.0,0.0,1.0,43,0.2,45,1.5,4489.0,1.3,56.0,0.0,0.913,38.0,15.416,16.879,37.0,0,0.0,33.5,31.8,0.5,26.6,21.6.2026,0.983,53,0.0,2,0.0,0,0.0,83.4,0.0,0.0,2.4,43.0,0.0,0.0,0.0,10.4,0.951,3691.0,46,8.1,0.0,97.5,0.0,0.0,0,0.943,1097.3,36.0,0.0,42.1,2992.7,0.0,0,0.0,0.998,1.1,1.033,0.998,546,30.0,11.0,1086.3,15.8,860.5,0.81,483.5,4090.0,0.0,0.0
47,15.1,42.0,6593,21:17:48.963,53.1,0.0,0.0,4.236,3092.4,10.1,0.4,50,0.006,1.4,53,0.0,0.0,84.9,2855.5,2188.7,43.5,0.4,0.0,11195,90.6,45,53,47,9.9,66,0.0,1976,43,16.046,6.1,0,15.8,11806,40.8,46,0.0,51.3,0.5,18.6,4189.8,0.0,54,1.038,0.1,2.8,1.8,53,0.0,0.0,24.6,0.0,0.0,12.6,53.1,1302,0.0,45,0.0,8888,42.9,2.4,52,31.0,0.0,50.9,0.0,0.0,14.0,53,0.0,0.0,0.0,45.0,1.4,0.0,0.2,0.9,0,0.0,0.0,50,0.2,3.235,12.143,41.069,392.9,1097.3,0.8,52,0.0,97.9,311,5.086,0.0,0.0,50,55,99.2,11.0,40.1,100.0,0.0,0.1,0.973,326.5,46,52.5,0.0,0.0,3.3,4389.3,1.3,53.2,38.3,3.1,50,49,0.0,0.0,0.5,57,0.234,0.0,47,9.5,7.3,15.3,0.0,15.3,350.0,50,6.25,0.0,44.0,1.3,55,0.0,0.0,0.1,43,0.0,45,8.6,1396.6,0.1,42.7,0.0,0.968,17.5,17.261,16.88,39.0,0,1.3,64.1,28.6,0.7,24.9,21.6.2026,0.948,47,0.0,2,0.0,0,0.0,83.5,0.0,0.0,2.0,42.0,0.0,0.0,0.0,15.3,0.998,3890.5,45,8.8,0.004,97.8,0.0,3.2,0,0.986,1097.3,42.0,0.0,18.6,3092.4,0.0,0,0.0,0.987,0.7,1.033,0.968,546,31.0,11.0,472.0,15.3,1660.1,1.069,468.9,4489.0,26.2,28.1
48,30.3,42.0,6592,21:17:49.978,44.6,0.0,0.0,4.236,2194.6,10.4,0.4,59,0.001,1.7,51,0.2,0.0,73.7,2381.7,1904.8,43.5,0.5,0.0,11195,93.8,49,50,49,5.6,69,0.0,1976,43,16.687,9.6,0,30.0,11808,37.7,46,0.0,49.8,0.3,31.3,4489.0,0.0,54,1.074,5.6,1.9,2.3,51,4.5,0.105,29.5,0.0,0.3,8.6,44.6,1303,0.0,52,0.0,8887,42.9,2.4,66,22.0,0.0,51.4,0.0,0.0,14.0,52,0.0,0.0,0.0,44.0,1.7,0.0,0.0,0.6,0,0.0,0.5,47,0.2,3.016,13.061,41.057,405.5,1097.3,0.5,58,0.0,97.4,311,4.884,0.0,0.0,41,48,99.4,11.0,38.7,99.9,0.0,1.2,0.994,220.5,46,44.7,0.0,0.0,2.7,1396.6,0.0,54.9,45.2,2.3,59,49,0.0,0.5,0.8,57,0.224,0.0,49,13.1,7.0,15.8,0.0,10.3,350.0,53,13.75,0.0,14.0,0.0,51,0.0,0.0,0.9,43,0.2,45,6.0,1396.6,0.0,19.0,0.0,1.004,9.2,16.385,16.882,39.0,0,0.0,59.9,23.9,0.5,30.4,21.6.2026,0.999,50,0.0,2,0.0,0,0.0,83.4,0.0,0.0,2.6,45.0,0.0,0.0,0.0,10.3,1.028,3890.5,45,5.6,0.013,97.2,0.0,3.3,0,0.986,2992.7,42.0,0.0,43.3,1097.3,0.0,0,0.0,1.079,0.4,1.024,0.994,546,11.0,30.0,1116.6,15.8,1546.3,1.06,483.6,4389.3,0.0,0.0
41,18.7,44.0,6240,21:17:50.973,25.0,0.0,0.0,4.236,1097.3,5.6,0.4,42,0.005,2.1,55,0.3,0.0,34.8,1209.5,885.5,43.5,0.5,0.0,11195,97.0,44,57,45,0.9,46,0.0,1976,43,16.478,5.4,0,17.2,12239,7.3,43,0.0,65.5,0.3,50.2,1197.1,0.0,57,0.658,0.2,3.5,3.4,56,0.2,0.278,37.4,0.1,0.3,2.5,25.0,1655,0.0,44,0.0,8456,40.8,2.4,45,11.0,0.0,50.6,0.0,0.0,13.0,59,0.0,2.6,0.0,12.0,1.6,0.0,0.2,0.4,0,0.0,0.0,44,0.5,3.254,12.594,41.057,159.3,1396.6,0.2,45,0.0,96.2,311,5.058,0.0,0.0,58,56,99.8,14.0,14.1,99.9,0.0,1.2,0.709,64.8,47,25.9,0.0,0.0,0.0,997.6,3.5,81.3,40.6,2.4,45,50,0.0,0.0,0.4,57,0.229,0.0,44,11.6,6.7,6.4,0.0,4.7,300.0,56,1.875,7.2,10.0,0.5,56,0.0,0.0,0.7,43,0.2,45,4.7,1296.8,0.5,33.4,0.0,0.684,8.7,9.534,16.882,4.0,0,0.0,21.0,12.1,0.7,28.9,21.6.2026,0.689,43,0.0,2,0.0,0,0.0,79.0,0.0,0.0,2.4,12.0,0.0,0.0,0.0,4.7,0.682,399.0,45,2.0,0.298,97.4,0.0,0.0,0,0.641,1097.3,36.0,0.0,14.5,1396.6,0.0,0,0.0,0.66,0.5,0.665,0.709,546,14.0,11.0,345.3,6.4,537.8,0.683,187.4,1197.1,0.0,0.0
39,15.8,42.0,6239,21:17:52.003,8.2,0.0,0.0,4.236,1097.3,2.9,0.5,43,0.005,4.0,56,0.0,0.0,4.5,1122.3,108.3,43.5,0.6,0.0,11195,99.3,45,57,44,1.0,45,0.0,1976,43,8.458,6.7,0,15.7,12241,6.4,41,0.0,73.5,0.0,72.7,997.6,0.0,59,0.659,0.1,1.6,6.8,55,0.1,0.125,72.1,0.0,0.2,0.2,15.7,1656,0.0,45,4.2,8454,40.8,2.4,45,11.0,0.0,48.8,0.0,0.0,12.0,61,0.0,0.5,0.0,12.0,1.1,0.0,0.0,0.5,0,0.0,0.0,44,0.1,3.188,4.746,41.076,38.1,1296.8,0.1,44,0.0,92.8,311,3.185,0.0,0.0,57,55,99.9,13.0,1.5,99.9,0.1,0.9,0.684,2.7,46,7.9,0.0,0.0,3.8,997.6,3.6,95.7,53.6,7.4,45,49,0.0,0.6,0.6,57,0.152,0.0,45,0.0,9.0,1.7,0.0,5.0,350.0,56,1.25,6.5,10.0,0.0,55,0.0,0.0,0.6,43,0.1,45,0.6,1197.1,0.0,26.2,0.0,0.684,16.5,4.071,16.883,4.0,0,0.6,0.9,11.2,0.5,20.1,21.6.2026,0.684,43,0.0,2,0.0,0,0.0,79.0,0.0,0.0,1.9,10.0,0.0,0.0,9.0,5.0,0.679,399.0,45,0.3,0.02,98.0,0.0,0.0,0,0.641,1097.3,42.0,0.0,9.2,1097.3,0.0,0,0.0,0.68,0.6,0.658,0.699,546,11.0,11.0,226.1,1.7,18.9,0.684,38.5,1197.1,0.6,11.8
41,3.7,42.0,6237,21:17:52.992,19.1,0.0,0.0,4.236,1097.3,3.1,1.1,42,0.003,0.1,55,0.8,0.0,10.6,1147.2,259.3,43.5,0.1,0.0,11196,98.9,45,56,45,0.1,45,0.21,1976,43,3.946,1.2,0,0.2,12241,9.8,44,0.0,75.7,0.2,34.4,1197.1,0.0,56,0.662,0.2,8.8,0.2,55,0.2,0.85,2.1,0.0,0.2,0.3,21.7,1658,0.1,45,0.5,8454,40.8,2.4,45,11.0,0.1,49.3,0.0,0.0,13.0,59,0.0,17.0,0.3,12.0,2.5,0.0,0.0,2.5,0,0.0,0.0,44,0.9,2.578,0.915,41.059,38.4,1097.3,0.3,45,0.0,99.7,311,1.82,0.0,0.0,58,55,99.5,11.0,7.8,99.9,0.1,1.1,0.689,6.0,47,19.9,0.0,0.0,3.9,1097.3,0.0,80.1,6.4,0.0,45,49,0.0,2.9,0.1,57,0.109,0.0,45,0.0,7.0,1.7,0.0,5.1,300.0,56,1.25,7.1,11.0,1.1,55,0.0,0.0,0.6,43,0.2,45,3.5,1296.8,0.0,89.3,0.0,0.685,41.0,4.336,16.883,5.0,0,1.2,3.8,11.5,0.4,44.3,21.6.2026,0.686,44,0.0,2,0.0,0,0.1,78.9,0.0,0.0,4.2,12.0,0.0,0.0,0.0,5.1,0.68,498.8,45,0.6,0.063,95.4,0.0,0.0,0,0.648,1097.3,36.0,0.0,2.0,1097.3,0.0,0,0.0,0.662,0.7,0.667,0.694,546,11.0,11.0,48.7,1.7,91.4,0.695,45.8,1197.1,1.2,21.7
43,0.1,42.0,6237,21:17:54.001,16.2,0.0,0.0,4.236,1895.4,3.3,35.2,42,0.006,0.2,55,0.2,0.0,9.3,1583.6,217.7,43.5,3.4,0.0,11196,87.5,44,56,45,5.8,45,0.0,1976,43,4.458,46.0,0,0.8,12240,6.1,43,0.0,78.5,0.9,53.2,1396.6,0.0,57,0.713,0.0,12.2,0.2,56,0.0,0.065,2.4,0.1,0.1,3.2,16.2,1658,1.9,44,0.5,8455,40.8,2.4,45,19.0,0.0,48.8,0.0,0.0,19.0,57,0.0,31.3,0.1,14.0,3.3,0.0,0.2,0.7,0,0.0,0.0,44,0.3,2.987,1.022,41.079,42.7,1895.4,1.4,44,0.0,99.6,311,2.091,0.0,0.0,58,56,98.3,19.0,5.5,97.5,0.1,0.4,0.689,66.9,47,16.2,0.0,0.0,5.6,1995.1,3.8,80.2,2.1,0.0,45,48,0.0,2.1,2.2,57,0.112,0.0,44,0.0,5.6,2.0,0.0,4.2,300.0,56,2.5,12.1,20.0,0.0,56,0.0,0.0,0.3,43,0.1,45,16.3,1895.4,4.9,93.2,0.0,0.689,25.2,3.709,16.884,14.0,0,0.0,2.8,15.9,0.7,59.9,21.6.2026,0.767,44,0.0,2,0.0,0,2.3,78.9,0.0,0.0,4.9,14.0,0.0,0.0,3.3,4.2,0.714,1396.6,45,5.2,0.004,94.6,0.0,0.0,0,0.673,1097.3,36.0,0.0,0.0,1097.3,0.0,0,0.0,0.72,0.7,0.712,0.707,546,11.0,11.0,0.8,2.0,65.2,0.718,47.5,1396.6,3.1,7.0
39,0.0,42.0,6237,21:17:54.990,15.6,0.0,0.0,4.236,1296.5,3.2,12.6,42,0.001,0.1,56,0.1,0.0,8.4,1122.0,203.8,43.5,1.3,0.0,11196,85.3,44,57,44,3.4,45,0.0,1978,43,3.709,18.3,0,0.0,12238,6.9,44,0.0,69.0,1.2,13.0,1097.0,0.0,56,0.664,0.1,8.3,0.2,56,0.0,0.016,1.5,0.1,0.4,2.4,15.6,1658,0.7,44,2.2,8457,40.8,2.4,45,13.0,0.1,48.9,0.0,0.0,12.0,61,0.0,1.8,0.1,12.0,2.7,0.0,0.7,1.2,0,0.0,0.0,44,0.8,2.528,0.822,41.067,37.5,1097.0,2.1,44,0.0,99.8,311,1.877,0.0,0.0,58,56,97.7,11.0,8.0,98.8,0.1,1.5,0.686,50.7,46,16.9,0.0,0.0,3.8,897.6,11.7,80.0,0.9,0.9,44,48,0.0,1.2,0.7,57,0.087,0.0,44,0.0,10.4,1.7,0.0,3.8,300.0,56,1.25,4.5,9.0,2.3,56,0.0,0.0,1.0,43,0.3,45,21.3,1196.8,8.1,97.7,0.0,0.685,65.8,4.417,16.886,4.0,0,0.0,3.9,11.2,0.5,48.1,21.6.2026,0.701,43,0.0,2,0.0,0,1.1,78.9,0.0,0.0,4.5,11.0,0.0,0.0,2.0,3.8,0.685,398.9,45,4.2,2.336,95.1,0.0,0.0,0,0.636,1097.0,36.0,0.0,0.0,1097.0,0.0,0,0.0,0.691,0.6,0.688,0.686,546,11.0,11.0,0.5,1.7,90.6,0.68,43.5,1196.8,0.3,0.0
45,0.0,42.0,6252,21:17:55.985,27.7,0.0,0.0,4.236,1097.3,7.2,1.3,46,0.005,0.1,54,6.7,0.0,39.1,1621.0,1000.0,43.5,2.5,0.0,11213,79.5,46,53,46,13.3,60,0.0,1978,43,4.323,105.2,0,0.5,12229,36.0,48,0.1,59.5,0.5,22.6,1396.6,0.0,52,1.018,0.2,19.5,0.1,54,0.2,16.976,1.2,0.0,0.1,22.1,36.0,1643,0.1,46,0.0,8466,40.9,2.4,56,11.0,0.0,50.5,0.0,0.0,14.0,55,0.0,10.6,0.0,44.0,3.3,0.0,0.0,0.4,0,0.0,0.0,51,6.8,2.881,0.942,41.064,256.4,1097.3,0.5,56,0.0,99.9,311,1.973,0.0,0.0,54,54,99.4,11.0,35.8,99.9,0.0,0.1,1.019,506.0,48,28.9,0.0,0.0,3.9,1396.6,0.0,38.7,0.0,0.0,51,48,0.0,0.0,4.1,57,0.127,0.0,46,6.7,7.8,10.3,0.0,9.3,300.0,49,14.375,2.8,14.0,0.0,54,0.0,0.0,0.1,43,0.0,45,7.3,1396.6,5.0,97.3,0.0,1.027,37.9,9.643,16.885,39.0,0,27.0,54.5,16.2,0.6,58.4,21.6.2026,1.014,47,0.0,2,0.0,0,0.1,79.1,0.0,0.0,4.9,14.0,0.0,0.0,0.0,9.3,1.024,3890.5,45,14.2,0.088,94.8,0.0,3.5,0,0.981,1097.3,36.0,0.0,0.0,1097.3,0.0,0,0.0,1.023,0.8,1.033,1.014,546,11.0,11.0,0.6,10.3,1394.9,1.044,307.4,4389.3,0.5,2.9
65,0.0,43.0,6253,21:17:56.992,37.1,0.0,0.0,4.236,1097.3,10.0,0.5,58,0.001,0.1,52,0.2,0.0,57.3,2257.0,1462.0,43.5,0.8,0.0,11213,88.8,48,49,48,10.7,72,0.0,1978,43,10.607,25.4,0,0.8,12229,70.2,46,0.0,50.0,0.7,12.3,1396.6,0.0,54,1.025,0.0,25.6,0.1,52,0.0,0.111,1.1,0.0,0.4,12.0,70.2,1642,0.0,48,0.0,8466,40.9,2.4,68,11.0,0.3,51.3,0.0,0.0,45.0,35,0.0,0.0,0.2,14.0,0.9,0.0,0.2,7.3,0,0.0,0.0,46,0.3,3.175,6.965,41.069,407.5,1097.3,0.9,68,0.0,99.9,311,3.95,0.0,0.0,42,52,99.1,11.0,70.2,99.9,0.0,1.3,1.039,355.3,48,37.5,0.0,0.0,1.7,4489.0,10.7,0.0,0.0,2.3,65,49,0.0,1.6,1.0,57,0.108,0.0,48,8.8,7.7,15.7,0.0,11.4,300.0,54,16.875,0.0,45.0,0.7,52,0.0,0.0,1.0,43,0.2,45,12.2,4489.0,0.0,99.0,0.0,1.029,36.1,16.113,16.887,39.0,0,0.0,116.3,22.6,0.4,15.4,21.6.2026,1.02,51,0.0,2,0.0,0,0.0,79.1,0.0,0.0,1.0,14.0,0.0,0.0,0.0,11.4,1.029,3890.5,45,9.6,0.005,98.8,0.0,3.6,0,0.981,1097.3,36.0,0.0,0.0,2992.7,0.0,0,0.0,1.032,0.5,1.015,1.02,546,30.0,11.0,0.6,15.7,3009.6,1.051,488.9,1396.6,0.0,1.6
