P-core 3 [°C],P-core 1 T1 C0 Ocupação [%],PCH Temperatura [°C],Memória física utilizada [MB],Time,P-core 2 T0 Uso [%],GPU Core (NVVDD) Saida de Energia [W].1,E-core 7 C1 Ocupação [%],Potência das linhas GPU (avg) [W],E-core 4 Relógio [MHz],Core C0 Ocupação (avg) [%],E-core 6 T0 Relógio efetivo [MHz],P-core 1 [°C],Potência de núcleo GT [W],E-core 7 T0 Utilização [%],E-core 7 Distância para TjMAX [°C],Atividade de leitura [%],GPU Core (NVVDD) Entrada de energia (sum) [W],P-core 2 T0 Utilização [%],Relógios núcleo (avg) [MHz],P-core 2 T0 Relógio efetivo [MHz],SPD Hub Temperatura [°C],P-core 1 T0 C0 Ocupação [%],Uso de memória GPU [%],P-core 0 C7 Ocupação [%],E-core 5 [°C],Distância do núcleo para TjMAX (avg) [°C],E-core 7 [°C],P-core 0 T0 Uso [%],CPU Inteira [°C],iGPU VID [V],Temperatura do disco [°C],Potência total da CPU [W],P-core 1 T0 Relógio efetivo [MHz],Memória GPU alocada [MB],P-core 1 T1 Uso [%],Memória virtual disponível [MB],P-core 3 T0 Uso [%],P-core 0 [°C],P-core 0 C6 Ocupação [%],Core C7 Ocupação (avg) [%],E-core 5 T0 Utilização [%],P-core 2 C7 Ocupação [%],Carga do núcleo da GPU [%],P-core 1 Relógio [MHz],Temperatura de ponto quente da GPU [°C],P-core 0 Distância para TjMAX [°C],Tensões de linhas GPU (avg) [V],P-core 2 VID [V],Taxa de download atual [KB/s],P-core 3 C1 Ocupação [%],E-core 7 T0 C0 Ocupação [%],E-core 6 Distância para TjMAX [°C],Taxa de upload atual [KB/s],Carga do barramento GPU [%],Taxa de leituras [MB/s],E-core 7 T0 Relógio efetivo [MHz],P-core 2 T1 C0 Ocupação [%],GPU Render/Computing Uso [%],P-core 0 T0 Utilização [%],Uso máximo de CPU / thread [%],Memória física disponível [MB],E-core 6 T0 Utilização [%],E-core 4 [°C],Package C6 Ocupação [%],Memória virtual comprometida [MB],Carga da memória virtual [%],Utilização do arquivo de paginação [%],CPU Inteira [°C].1,E-core 4 Relação [x],P-core 3 T1 Utilização [%],Core C6 Ocupação (avg) [%],P-core 0 T1 Utilização [%],GPU Potência [W],P-core 3 Relação [x],P-core 3 Distância para TjMAX [°C],GPU PCIe +3 3V Entrada de energia (est) [W],Package C3 Ocupação [%],P-core 3 T1 C0 Ocupação [%],P-core 2 Relação [x],E-core 4 T0 Utilização [%],E-core 5 C1 Ocupação [%],Atividade de gravação [%],P-core 3 T1 Relógio efetivo [MHz],Memória GPU disponível [MB],Temperatura de junção da memória GPU [°C],P-core 1 C6 Ocupação [%],P-core 2 [°C],Atividade total [%],Potência do System Agent [W],Potência de núcleos IA [W],Relógios efetivos núcleo (avg) [MHz],E-core 5 Relógio [MHz],E-core 5 T0 C0 Ocupação [%],CPU IA Cores [°C],E-core 6 C1 Ocupação [%],E-core 7 C6 Ocupação [%],Page File Used [MB],Potência total do sistema [W],GPU Core Voltage [V],GPU 12VHPWR Potência [W],P-core 1 Distância para TjMAX [°C],E-core 4 Distância para TjMAX [°C],E-core 5 C6 Ocupação [%],E-core 5 Relação [x],P-core 3 T0 C0 Ocupação [%],E-core 6 C6 Ocupação [%],P-core 0 T1 C0 Ocupação [%],Utilização de D3D GPU [%].1,E-core 6 VID [V],P-core 0 T0 Relógio efetivo [MHz],Temperatura do disco 3 [°C],P-core 2 T0 C0 Ocupação [%],Relógio de vídeo GPU [MHz],GPU Crossbar Relógio [MHz],E-core 4 T0 Uso [%],P-core 0 Relógio [MHz],P-core 3 T1 Uso [%],P-core 3 C7 Ocupação [%],P-core 1 C1 Ocupação [%],E-core 7 T0 Uso [%],Núcleo máximo [°C],VR VCC Temperatura (SVID) [°C],Utilização de D3D GPU [%],E-core 5 T0 Uso [%],P-core 1 T0 Utilização [%],Potência do restante do chip [W],GPU FBVDD Tensão de entrada [V],E-core 6 [°C],P-core 2 C6 Ocupação [%],Core C1 Ocupação (avg) [%],Utilização do núcleo (avg) [%],Relógio de memória GPU [MHz],Uso do núcleo (avg) [%],GPU Clock [MHz].1,P-core 2 Distância para TjMAX [°C],VR VCC Corrente (SVID IOUT) [A],Package C2 Ocupação [%],P-core 0 Relação [x],P-core 2 T1 Uso [%],E-core 5 Distância para TjMAX [°C],Fonte PP de entrada GPU Potência (sum) [W],Uso total da GPU [%],Temperatura do disco 2 [°C],Utilizações de D3D GPU (avg) [%],GPU Core Temperatura [°C],E-core 5 T0 Relógio efetivo [MHz],P-core 3 Relógio [MHz],P-core 0 C1 Ocupação [%],P-core 1 C7 Ocupação [%],GPU FBVDD Voltagemm de saída [V],E-core 7 VID [V],P-core 2 C1 Ocupação [%],IGPU Potência [W],Uncore Relação [x],PCI Express Error Counters (avg) [],P-core 0 T1 Uso [%],P-core 3 T0 Utilização [%],Relação do relógio do núcleo (avg) [x],P-core 2 T1 Relógio efetivo [MHz],E-core 4 T0 Relógio efetivo [MHz],Date,E-core 4 VID [V],Temperaturas centrais (avg) [°C],GPU 12VHPWR Voltagem [V],E-core 4 C1 Ocupação [%],Memória dinâmica D3D GPU [MB],E-core 6 T0 C0 Ocupação [%],Carga da memória física [%],GPU Core (NVVDD) Saida de Energia [W],P-core 2 T1 Utilização [%],E-core 4 T0 C0 Ocupação [%],P-core 1 Relação [x],Velocidade do link PCIe [GT/s],GPU FBVDD Saida de Energia [W],Uso total da CPU [%],Core VIDs (avg) [V],Ring/LLC Relógio [MHz],CPU GT Cores (gráficos) [°C],P-core 0 T0 C0 Ocupação [%],Taxa de gravações [MB/s],E-core 4 C6 Ocupação [%],GPU Clock [MHz],P-core 3 C6 Ocupação [%],Recovery Count [],Uncore VID [V],E-core 7 Relógio [MHz],Relógio de memória GPU [MHz].1,GPU FBVDD Entrada de energia [W],P-core 1 T1 Utilização [%],E-core 6 Relógio [MHz],Temperatura GPU [°C],Memória dedicada D3D GPU [MB],Limite térmico da GPU [°C],P-core 1 VID [V],P-core 0 T1 Relógio efetivo [MHz],P-core 3 VID [V],E-core 5 VID [V],Memória dinâmica D3D GPU [MB].1,E-core 6 Relação [x],E-core 7 Relação [x],P-core 1 T1 Relógio efetivo [MHz],Utilização total da CPU [%],P-core 3 T0 Relógio efetivo [MHz],P-core 0 VID [V],Relógio efetivo médio [MHz],P-core 2 Relógio [MHz],E-core 6 T0 Uso [%],P-core 1 T0 Uso [%]
54,0.0,42.0,6005,18:2:43.481,20.1,0.0,0.0,5.693,3092.4,10.2,7.1,45,0.004,0.1,53,0.0,0.0,0.4,3167.3,4.5,40.0,3.2,0.0,78.5,47,52,47,11.9,63,0.0,37,17.225,82.8,0,0.3,10101,70.7,45,0.0,56.2,1.1,44.4,0.0,4489.0,0.0,55,19.841,1.023,0.0,8.3,0.1,53,0.0,0.0,0.0,1.8,32.3,0.3,18.5,70.7,1890,0.4,47,0.0,11106,52.3,7.2,69,31.0,0.0,51.8,0.0,0.0,35.0,46,0.0,0.0,0.0,45.0,0.0,0.0,0.5,0.5,0,0.0,0.0,48,0.5,3.03,13.658,418.0,3092.4,1.6,69,0.0,99.8,962,4.692,0.0,0.0,55,53,98.2,31.0,71.2,99.5,0.0,0.0,1.03,462.5,40,0.2,0.0,0.0,0.0,2593.7,3.3,12.5,5.9,0.4,54,45,1.0,0.3,3.7,0.142,0.0,47,9.7,3.9,16.3,42.0,12.0,0.0,52,23.75,0.0,26.0,31.5,53,0.0,0.8,37,0.2,45,18.9,3491.5,6.1,89.5,0.0,1.03,10.8,16.889,39.0,2,0.0,120.8,31.8,1306.0,0.7,21.6.2026,1.028,48,0.0,0.0,601,0.5,76.0,0.0,50.9,0.0,45.0,0.0,0.0,12.0,1.033,3890.5,45,13.0,0.027,99.9,350.0,6.9,0,0.986,2992.7,0.0,0.0,0.0,1097.3,0.0,0,0.0,1.018,0.6,1.038,1.03,0,11.0,30.0,0.5,16.3,3130.3,1.067,500.7,4489.0,0.8,5.0
54,0.0,42.0,6009,18:2:44.497,18.1,0.0,0.0,5.693,3092.4,10.2,3.6,48,0.004,0.1,53,0.2,0.0,0.6,2631.1,8.1,40.0,4.4,0.0,90.0,47,50,47,5.7,66,0.0,37,16.576,173.1,0,0.0,10104,67.8,46,0.0,53.2,1.9,26.5,0.0,1396.6,0.0,54,19.841,1.044,0.2,26.2,0.1,53,0.2,0.0,0.061,1.5,41.2,0.3,8.0,67.8,1885,0.2,47,0.0,11103,52.3,7.2,68,31.0,0.0,50.6,0.0,0.0,42.0,46,0.0,0.0,0.0,45.0,0.0,0.0,0.4,0.8,0,0.0,0.0,61,0.6,3.056,12.987,421.8,2194.6,2.9,68,0.0,99.8,962,4.729,0.0,0.0,52,53,96.9,22.0,67.7,99.7,0.0,0.0,0.947,201.0,41,0.3,0.0,0.0,0.0,2394.1,0.0,0.9,0.0,0.1,61,46,1.0,2.8,6.7,0.147,0.0,47,4.9,6.4,16.5,42.0,12.1,0.0,39,26.875,0.0,24.0,41.0,53,0.0,0.8,37,0.2,45,34.7,4189.8,2.4,95.2,0.0,0.965,22.7,16.409,39.0,2,7.2,114.1,26.4,1692.7,0.5,21.6.2026,0.952,50,0.0,0.0,601,0.2,76.1,0.0,65.7,0.0,14.0,0.0,0.0,12.1,0.979,3890.5,45,5.8,0.203,99.9,350.0,3.9,0,0.986,2194.6,0.0,0.0,0.0,1097.3,0.0,0,0.0,0.964,0.6,1.044,0.947,0,11.0,22.0,0.5,16.4,2944.4,0.967,505.6,4489.0,0.2,2.8
69,0.0,42.0,6029,18:2:45.504,4.5,0.0,0.0,5.693,3092.4,10.2,1.4,57,0.003,0.1,52,0.2,0.0,0.5,3479.0,6.9,40.0,6.8,0.0,76.3,48,49,48,14.5,69,0.0,37,16.624,261.7,0,0.0,10106,62.6,45,0.0,50.2,1.6,32.4,0.0,3990.2,0.0,55,19.841,1.028,0.1,23.0,0.1,52,0.0,0.0,0.032,1.4,37.3,0.2,19.2,62.6,1865,0.1,48,0.0,11101,52.3,7.2,69,31.0,0.0,53.4,0.0,0.0,45.0,31,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.5,0,0.0,0.0,46,0.2,3.159,12.989,417.3,1097.3,2.3,69,0.0,99.9,962,4.85,0.0,0.0,43,52,97.4,11.0,62.0,99.9,0.0,0.0,1.018,476.0,41,0.3,0.0,0.0,0.0,4489.0,0.0,2.0,1.9,0.0,69,46,0.7,2.1,10.4,0.151,0.0,48,18.2,4.7,16.3,42.0,10.8,0.0,54,25.0,0.0,45.0,37.9,52,0.0,0.6,37,0.1,45,28.8,4489.0,7.5,90.1,0.0,1.018,5.5,18.145,39.0,2,0.0,104.5,34.9,1529.3,0.4,21.6.2026,1.018,51,0.0,0.0,601,0.0,76.3,0.0,59.5,0.0,40.0,0.0,0.0,10.8,1.027,3890.5,45,13.3,0.0,100.0,350.0,12.0,0,0.988,3092.4,0.0,0.0,0.0,3092.4,0.0,0,0.0,1.03,0.6,1.028,1.013,0,31.0,31.0,0.5,16.3,2700.4,1.063,500.5,4489.0,0.0,8.1
41,0.0,42.0,5911,18:2:46.518,0.0,0.0,0.0,5.693,1895.4,7.0,27.5,42,0.003,0.1,56,1.0,0.0,0.5,2045.0,6.6,40.0,9.3,0.0,83.7,43,57,44,11.0,45,0.0,37,17.881,381.9,0,14.5,10255,29.1,43,0.0,57.8,0.6,31.2,0.0,2394.1,0.0,57,19.841,0.751,0.1,28.4,0.1,56,0.2,0.0,1.318,1.7,29.8,0.5,12.4,29.2,1984,1.5,43,0.1,10952,51.6,7.2,45,19.0,0.0,51.8,0.0,0.0,24.0,59,0.0,0.4,0.0,24.0,0.0,0.0,0.0,0.5,0,0.0,0.0,44,1.0,3.025,14.256,200.8,1895.4,0.8,44,0.0,99.8,962,4.773,0.0,0.0,58,57,98.9,19.0,29.4,97.5,0.0,0.0,0.762,310.3,41,0.5,0.0,0.0,0.0,2394.1,8.4,25.9,0.0,0.0,44,46,1.6,0.6,14.8,0.14,0.0,44,6.1,7.2,8.0,36.0,10.5,0.0,56,5.0,5.9,24.0,29.2,57,0.0,1.2,37,0.3,45,10.9,2394.1,2.5,90.4,0.0,0.762,26.5,9.965,18.0,2,20.8,36.6,20.5,739.6,0.7,21.6.2026,0.772,43,0.0,0.0,601,2.5,74.8,0.0,29.3,0.0,24.0,0.0,0.0,10.5,0.76,1795.6,45,11.1,0.106,99.9,300.0,12.5,0,0.708,1895.4,0.0,0.0,0.0,1097.3,0.0,0,0.0,0.756,0.5,0.752,0.772,0,11.0,19.0,0.4,8.0,928.8,0.748,238.0,2394.1,2.3,10.5
45,0.0,42.0,5922,18:2:47.510,17.3,0.0,0.0,5.693,2693.4,5.1,5.0,44,0.006,0.1,55,11.9,0.0,0.8,2755.8,10.2,40.0,0.2,0.0,66.3,45,55,45,9.7,46,0.0,37,9.69,3.8,0,0.3,10243,17.9,44,0.0,58.4,1.5,22.0,0.0,3691.0,0.0,56,19.841,0.907,3.2,33.1,0.1,55,1.6,0.0,19.981,1.7,30.0,0.2,8.4,29.7,1973,0.3,45,6.5,10964,51.6,7.2,48,27.0,0.0,49.5,0.0,0.0,37.0,55,0.0,1.4,0.0,37.0,0.1,0.0,0.9,0.6,0,0.0,0.0,46,12.8,3.234,5.925,105.8,1097.3,2.5,48,0.0,99.8,962,3.077,0.0,0.0,56,55,97.2,11.0,17.7,99.4,0.0,0.0,0.855,195.9,42,0.7,0.0,0.0,27.2,3491.5,0.0,45.4,0.0,0.4,46,45,0.5,3.9,0.2,0.147,0.0,45,0.1,12.2,4.4,42.0,8.9,0.0,54,12.5,12.5,35.0,29.7,55,0.0,0.5,37,0.1,45,30.4,3691.0,21.6,99.7,0.0,0.854,43.0,6.335,29.0,2,0.0,16.0,27.6,633.8,0.7,21.6.2026,0.917,45,0.0,0.0,601,0.5,75.0,0.0,25.7,0.0,37.0,0.0,0.0,8.9,0.869,2892.9,45,9.5,0.078,99.9,350.0,0.0,0,0.831,2294.4,0.0,0.0,0.0,1396.6,0.0,0,0.0,0.922,0.6,0.907,0.685,0,14.0,23.0,0.6,4.4,386.7,0.9,126.3,3691.0,0.7,0.0
50,0.1,42.0,6050,18:2:48.522,0.0,0.0,2.6,5.693,1695.9,12.3,36.5,48,0.003,1.2,55,100.0,0.0,0.9,2518.8,10.0,40.0,18.9,0.0,17.2,45,53,45,26.9,50,0.0,37,6.458,715.0,0,0.0,10129,38.0,48,0.0,22.6,6.1,1.8,0.0,3990.2,0.0,52,19.841,1.03,0.1,46.1,1.4,55,0.0,0.0,116.681,18.9,50.0,0.4,34.0,49.3,1845,2.2,45,0.0,11078,52.2,7.2,60,17.0,0.0,46.1,0.0,0.0,14.0,50,0.0,0.0,0.0,44.0,0.2,8.8,0.1,0.6,0,0.0,0.9,50,100.0,3.017,2.957,396.3,1695.9,7.8,60,9.0,95.3,962,2.215,0.0,0.0,52,55,82.4,17.0,38.8,87.9,0.0,0.0,1.021,841.7,44,0.4,0.0,0.0,0.0,4189.8,0.0,9.1,16.7,1.5,50,45,1.5,5.3,28.1,0.13,0.0,45,1.1,22.3,16.1,42.0,12.4,0.0,50,28.125,0.0,42.0,49.3,55,0.0,1.1,37,0.2,45,104.5,1396.6,51.7,62.2,0.0,1.041,43.5,14.193,39.0,2,4.5,52.9,25.2,1695.4,3.2,21.6.2026,1.035,47,0.0,0.0,626,2.5,76.6,0.0,67.2,0.2,40.0,0.0,0.0,12.4,1.034,3890.5,45,27.8,0.082,99.8,350.0,1.7,0,0.981,1695.9,0.0,0.0,0.1,1097.3,0.0,0,0.0,1.015,0.5,1.02,1.015,0,11.0,17.0,2.9,16.1,1326.0,1.094,470.0,4389.3,2.6,20.3
40,0.0,42.0,6082,18:2:49.521,0.0,0.0,0.0,5.693,2294.4,7.4,14.5,42,0.006,0.2,57,10.8,0.0,0.6,2506.4,7.8,40.0,3.2,0.0,62.4,43,57,43,15.5,45,0.0,37,14.64,104.1,0,10.4,10115,31.8,43,0.0,49.1,3.2,18.8,0.0,2992.7,0.0,57,19.841,0.83,0.2,38.1,0.2,57,0.3,0.0,24.562,2.7,33.3,0.2,18.2,33.3,1813,0.8,43,0.0,11092,52.3,7.2,45,23.0,0.0,49.6,0.1,0.0,31.0,60,0.0,0.0,0.0,31.0,0.1,0.0,0.0,0.6,0,0.0,0.0,44,10.8,3.958,10.071,202.5,1695.9,4.0,43,0.0,99.8,962,4.51,0.0,0.0,58,57,95.6,17.0,31.2,98.8,0.1,0.0,0.847,452.7,44,0.5,0.0,0.0,0.0,2892.9,12.8,26.8,7.9,0.0,44,45,0.5,4.7,4.2,0.215,0.0,43,2.2,13.4,8.3,36.0,11.1,0.0,56,5.0,7.8,29.0,33.3,57,0.0,0.4,37,0.1,45,56.8,3092.4,20.5,88.3,0.0,0.847,40.4,9.494,23.0,2,21.4,35.2,25.1,906.8,0.8,21.6.2026,0.837,43,0.0,0.0,626,1.1,77.0,0.0,36.6,0.0,30.0,0.0,0.0,11.1,0.835,2294.4,45,14.9,0.299,99.9,300.0,0.2,0,0.763,2294.4,0.0,0.0,0.0,1695.9,0.0,0,0.0,0.815,2.9,0.84,0.847,0,17.0,23.0,0.5,8.3,879.2,0.815,241.2,3092.4,0.3,2.4
41,0.0,42.0,6081,18:2:50.529,0.0,0.0,0.0,5.693,2194.6,4.1,7.0,42,0.002,0.8,57,0.4,0.0,0.6,1920.3,6.7,40.0,1.1,0.0,93.5,43,57,43,5.3,45,0.0,37,8.925,16.0,0,0.5,10119,14.5,43,0.0,70.4,0.8,11.0,0.0,1396.6,0.0,57,19.841,0.838,0.1,2.2,1.3,57,0.1,0.0,0.214,13.5,24.8,0.5,2.8,24.7,1813,0.4,43,0.0,11088,52.2,7.2,45,22.0,0.0,50.0,0.0,0.0,14.0,59,0.0,0.0,0.0,31.0,0.0,0.0,0.2,0.4,0,0.0,0.0,45,0.5,3.608,4.778,59.2,1097.3,1.4,43,0.0,98.6,962,3.183,0.0,0.0,58,57,98.3,11.0,14.2,99.2,0.0,0.0,0.827,65.6,43,0.7,0.0,0.0,0.5,3391.7,18.1,79.3,0.8,1.8,45,45,1.8,3.4,0.7,0.162,0.0,43,4.0,7.3,2.5,42.0,6.3,0.0,55,3.125,12.1,34.0,24.7,57,0.0,1.2,37,0.3,45,13.9,1396.6,0.0,97.8,0.0,0.837,55.7,5.619,28.0,2,0.0,8.1,19.2,389.5,0.4,21.6.2026,0.822,43,0.0,0.0,626,0.7,77.0,0.0,15.8,0.0,14.0,0.0,0.0,6.3,0.838,2793.2,45,4.8,0.261,99.9,350.0,0.0,0,0.818,1695.9,0.0,0.0,0.0,1097.3,0.0,0,0.0,0.843,0.8,0.827,0.817,0,11.0,17.0,0.5,2.5,195.6,0.892,69.0,3092.4,4.2,3.1
41,0.0,42.0,6081,18:2:51.536,0.0,0.0,0.0,5.693,2194.6,4.1,7.0,42,0.008,0.8,57,0.4,0.0,0.6,1920.3,6.7,40.0,1.1,0.0,93.5,43,57,43,5.3,45,0.0,37,5.683,16.0,0,0.5,10119,14.5,43,0.0,70.4,0.8,11.0,0.0,1396.6,0.0,57,19.841,0.838,0.1,2.2,1.3,57,0.1,0.0,0.214,13.5,24.8,0.1,2.8,24.7,1813,0.4,43,0.0,11088,52.2,7.2,69,22.0,0.0,50.0,0.0,0.0,14.0,59,0.0,0.0,0.0,31.0,0.0,0.0,0.2,0.4,0,0.0,0.0,45,0.5,3.514,1.631,59.2,1097.3,1.4,69,0.0,98.6,962,2.048,0.0,0.0,58,57,98.3,11.0,14.2,99.2,0.0,0.0,0.827,65.6,43,0.7,0.0,0.0,0.5,3391.7,18.1,79.3,0.8,1.8,45,45,0.3,3.4,0.7,0.148,0.0,43,4.0,7.3,2.5,42.0,6.3,0.0,55,33.751,12.1,34.0,24.7,57,0.0,0.3,37,0.0,46,13.9,1396.6,0.0,97.8,0.0,0.837,55.7,18.614,28.0,2,0.0,8.1,19.2,389.5,0.4,21.6.2026,0.822,43,0.0,0.0,626,0.7,77.0,0.0,15.8,0.0,14.0,0.0,0.0,6.3,0.838,2793.2,45,4.8,0.261,99.9,350.0,0.0,0,0.818,1695.9,0.0,0.0,0.0,1097.3,0.0,0,0.0,0.843,0.8,0.827,0.817,0,11.0,17.0,0.5,2.5,195.6,0.892,69.0,3092.4,4.2,3.1
68,0.0,42.0,6130,18:2:52.529,0.0,0.0,0.0,5.693,2992.7,17.4,10.5,56,0.002,0.2,52,0.0,0.0,0.0,3466.5,0.7,40.0,13.2,0.0,60.3,48,45,48,29.1,70,0.0,38,19.416,565.5,0,0.0,10064,79.4,55,6.2,36.9,1.1,0.0,0.0,4389.3,0.0,45,19.841,1.053,3.2,18.6,0.2,52,1.9,0.0,0.0,4.0,94.9,0.5,45.5,95.8,1765,0.3,48,0.0,11143,52.5,7.2,70,30.0,0.0,51.6,0.0,0.0,45.0,32,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.2,0,0.0,0.0,70,0.0,3.215,15.835,752.5,2992.7,1.1,70,0.0,99.6,962,5.492,0.0,0.0,44,52,98.7,30.0,69.5,99.3,0.0,0.0,1.07,1169.6,43,0.0,0.0,0.0,0.0,4289.5,0.0,3.5,2.4,0.6,70,45,1.6,1.6,21.9,0.141,0.0,48,1.3,3.1,30.7,42.0,18.4,0.0,30,32.5,0.0,43.0,95.8,52,0.0,1.2,38,0.3,45,20.2,4489.0,1.4,83.9,0.0,1.04,2.7,25.63,39.0,2,0.0,133.8,34.8,4246.1,1.2,21.6.2026,1.07,55,0.0,0.0,626,0.6,77.6,0.0,165.5,0.0,44.0,0.0,0.0,18.4,1.052,3890.5,48,28.9,0.023,99.9,350.0,8.0,0,0.988,1097.3,0.0,0.0,0.0,2992.7,0.0,0,0.0,1.043,0.4,1.039,1.07,0,30.0,11.0,0.5,30.7,3010.7,1.029,901.5,4489.0,0.6,13.6
53,0.0,43.0,6131,18:2:53.531,0.0,0.0,0.0,5.693,3092.4,13.2,13.0,46,0.006,0.2,52,0.3,0.0,0.2,3740.9,2.5,40.0,15.2,0.0,71.6,48,49,48,21.5,65,0.0,37,25.45,663.4,0,5.7,10065,70.2,55,4.8,39.4,0.6,3.4,0.0,4389.3,0.0,45,19.841,1.058,1.3,17.1,0.1,52,0.1,0.0,0.006,1.5,38.8,0.1,35.0,70.2,1764,0.7,48,0.0,11142,52.5,7.2,67,31.0,0.0,51.0,0.0,0.0,44.0,47,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.8,0,0.0,1.9,63,0.3,3.281,21.442,564.8,3092.4,0.4,67,0.0,99.8,962,6.885,0.0,0.0,54,52,99.4,31.0,81.9,99.1,0.0,0.0,1.07,888.7,42,0.2,0.0,0.0,14.5,4489.0,1.3,0.0,0.0,0.0,63,45,0.2,0.0,25.7,0.158,0.0,48,3.3,5.5,24.3,42.0,16.3,0.0,37,23.75,0.0,45.0,63.6,52,0.0,0.2,37,0.0,45,9.8,4389.3,0.2,82.6,0.0,1.045,26.8,21.728,39.0,2,4.3,120.3,37.5,1574.5,0.7,21.6.2026,1.07,51,0.0,0.0,626,0.8,77.6,0.0,108.3,0.0,44.0,0.0,0.0,16.3,1.062,3890.5,45,21.5,0.0,99.9,350.0,0.0,0,0.986,3092.4,0.0,0.0,0.0,2892.9,0.0,0,0.0,1.073,0.4,1.053,1.07,0,29.0,31.0,0.4,24.3,3621.5,1.058,676.3,4489.0,0.0,15.0
59,0.0,42.0,6132,18:2:54.536,27.3,0.0,0.0,5.693,2992.7,10.1,13.7,52,0.001,0.2,53,0.0,0.0,0.6,3641.1,7.1,40.0,1.2,0.0,77.6,47,50,47,9.3,59,0.0,38,21.565,49.0,0,0.0,10065,62.4,48,4.1,50.3,1.5,19.9,0.0,4489.0,0.0,52,19.841,1.008,0.2,25.0,0.1,53,0.2,0.0,0.0,2.6,45.0,0.6,15.0,62.4,1763,0.8,47,0.0,11142,52.5,7.2,63,30.0,0.0,51.1,0.0,0.0,45.0,41,0.0,0.0,0.0,45.0,0.1,0.0,0.2,0.5,0,0.0,0.0,53,0.2,2.945,18.099,421.3,2992.7,1.7,63,0.0,99.8,962,5.826,0.0,0.0,48,53,98.1,30.0,62.3,98.8,0.0,0.0,1.042,384.7,42,0.3,0.0,0.0,0.0,4489.0,0.0,5.3,0.0,0.0,59,45,1.7,3.1,1.9,0.132,0.0,47,1.1,7.8,16.4,36.0,12.4,0.0,47,23.75,0.0,45.0,44.7,53,0.0,1.4,38,0.3,45,26.6,4489.0,8.0,98.4,0.0,1.042,29.7,16.946,39.0,2,0.0,104.7,36.5,1857.1,1.1,21.6.2026,1.053,50,0.0,0.0,626,1.1,77.6,0.0,71.8,0.0,45.0,0.0,0.0,12.4,1.037,3890.5,45,9.4,0.013,99.9,300.0,6.6,0,0.981,2194.6,0.0,0.0,0.0,2992.7,0.0,0,0.0,1.034,0.8,1.023,1.053,0,30.0,22.0,0.7,16.4,2712.2,1.039,504.0,4489.0,1.0,1.1
50,0.0,42.0,6132,18:2:55.528,8.1,0.0,0.0,5.693,2992.7,10.1,6.0,55,0.006,0.1,53,0.0,0.0,0.7,3291.9,9.9,40.0,0.5,0.0,91.6,47,51,47,4.5,61,0.0,38,16.876,17.5,0,0.7,10065,78.4,46,0.0,59.2,1.2,45.7,0.0,1396.6,0.0,54,19.841,1.036,2.9,20.5,0.1,53,0.7,0.0,0.0,1.4,34.7,0.1,7.4,78.4,1763,0.3,47,0.0,11142,52.5,7.2,60,30.0,0.0,51.2,0.0,0.0,41.0,50,0.0,0.0,0.0,45.0,0.0,0.0,0.4,0.5,0,0.0,0.0,52,0.4,3.221,13.1,423.1,2992.7,1.7,60,0.0,99.8,962,4.709,0.0,0.0,45,53,98.1,30.0,78.2,99.5,0.0,0.0,0.971,186.2,42,0.3,0.0,0.0,0.7,4489.0,0.7,0.0,0.0,0.8,55,46,0.4,0.9,0.7,0.162,0.0,47,11.0,2.9,16.4,36.0,10.8,0.0,48,24.375,0.0,45.0,33.3,53,0.0,0.3,38,0.1,45,21.4,4090.0,1.6,99.4,0.0,0.971,1.4,16.843,39.0,2,0.0,132.8,33.0,1408.1,0.6,21.6.2026,0.97,49,0.0,0.0,626,0.5,77.6,0.0,54.0,0.0,14.0,0.0,0.0,10.8,1.009,3890.5,45,5.4,0.165,99.9,300.0,0.9,0,0.981,2992.7,0.0,0.0,0.0,2892.9,0.0,0,0.0,1.046,0.4,1.044,0.97,0,29.0,30.0,0.4,16.4,3424.8,1.063,507.0,4489.0,1.2,0.0
