Date,Time,"Mem√≥ria virtual comprometida [MB]","Mem√≥ria virtual dispon√≠vel [MB]","Carga da mem√≥ria virtual [%]","Mem√≥ria f√≠sica utilizada [MB]","Mem√≥ria f√≠sica dispon√≠vel [MB]","Carga da mem√≥ria f√≠sica [%]","Utiliza√ß√£o do arquivo de pagina√ß√£o [%]","Page File Total [MB]","Page File Used [MB]","Core VIDs (avg) [V]","Core 0 VID [V]","Core 1 VID [V]","Core 2 VID [V]","Core 3 VID [V]","Rel√≥gios n√∫cleo (avg) [MHz]","Core 0 Rel√≥gio [MHz]","Core 1 Rel√≥gio [MHz]","Core 2 Rel√≥gio [MHz]","Core 3 Rel√≥gio (perf #1) [MHz]","Rel√≥gio de barramento [MHz]","Rel√≥gios efetivos n√∫cleo (avg) [MHz]","Core 0 T0 Rel√≥gio efetivo [MHz]","Core 0 T1 Rel√≥gio efetivo [MHz]","Core 1 T0 Rel√≥gio efetivo [MHz]","Core 1 T1 Rel√≥gio efetivo [MHz]","Core 2 T0 Rel√≥gio efetivo [MHz]","Core 2 T1 Rel√≥gio efetivo [MHz]","Core 3 T0 Rel√≥gio efetivo [MHz]","Core 3 T1 Rel√≥gio efetivo [MHz]","Rel√≥gio efetivo m√©dio [MHz]","Uso do n√∫cleo (avg) [%]","Core 0 T0 Uso [%]","Core 0 T1 Uso [%]","Core 1 T0 Uso [%]","Core 1 T1 Uso [%]","Core 2 T0 Uso [%]","Core 2 T1 Uso [%]","Core 3 T0 Uso [%]","Core 3 T1 Uso [%]","Uso m√°ximo de CPU / thread [%]","Uso total da CPU [%]","Utiliza√ß√£o do n√∫cleo (avg) [%]","Core 0 T0 Utiliza√ß√£o [%]","Core 0 T1 Utiliza√ß√£o [%]","Core 1 T0 Utiliza√ß√£o [%]","Core 1 T1 Utiliza√ß√£o [%]","Core 2 T0 Utiliza√ß√£o [%]","Core 2 T1 Utiliza√ß√£o [%]","Core 3 T0 Utiliza√ß√£o [%]","Core 3 T1 Utiliza√ß√£o [%]","Utiliza√ß√£o total da CPU [%]","Rela√ß√£o do rel√≥gio do n√∫cleo (avg) [x]","Core 0 Rela√ß√£o [x]","Core 1 Rela√ß√£o [x]","Core 2 Rela√ß√£o [x]","Core 3 Rela√ß√£o [x]","Rel√≥gio da mem√≥ria [MHz]","Rela√ß√£o do rel√≥gio da mem√≥ria [x]","Tcas [T]","Trcd [T]","Trp [T]","Tras [T]","Trc [T]","Trfc [T]","Command Rate [T]","CPU (Tctl/Tdie) [¬∞C]","CPU SOC [¬∞C]","APU GFX [¬∞C]","Temperaturas centrais (avg) [¬∞C]","Core0 [¬∞C]","Core1 [¬∞C]","Core2 [¬∞C]","Core3 [¬∞C]","L3 Cache [¬∞C]","Tens√£o do n√∫cleo da CPU (SVI2 TFN) [V]","SoC Voltagem (SVI2 TFN) [V]","CPU Core VID (Effective) [V]","Corrente do n√∫cleo da CPU (SVI2 TFN) [A]","Corrente do SoC (SVI2 TFN) [A]","CPU TDC [A]","Pot√™ncia total da CPU [W]","Pot√™ncia dos n√∫cleos (avg) [W]","Core 0 Pot√™ncia [W]","Core 1 Pot√™ncia [W]","Core 2 Pot√™ncia [W]","Core 3 Pot√™ncia [W]","CPU Pot√™ncia do n√∫cleo (SVI2 TFN) [W]","Pot√™ncia da SoC CPU (SVI2 TFN) [W]","Core+SoC Pot√™ncia (SVI2 TFN) [W]","APU STAPM [W]","Infinity Fabric Rel√≥gio (FCLK) [MHz]","Rel√≥gio do controlador de mem√≥ria (UCLK) [MHz]","Limite de CPU TDC [%]","CPU PPT FAST Limit [%]","CPU PPT SLOW Limit [%]","APU STAPM Limit [%]","Estrangulamento t√©rmico (HTC) [Yes/No]","Estrangulamento t√©rmico (PROCHOT CPU) [Yes/No]","Estrangulamento t√©rmico (PROCHOT EXT) [Yes/No]","CPU [RPM]","Temperatura do disco [¬∞C]","Vida restante do disco [%]","Reserva dispon√≠vel do disco [%]","Falha de disco [Yes/No]","Aviso de disco [Yes/No]","Total de grava√ß√µes de host [GB]","Total de leituras de host [GB]","Atividade de leitura [%]","Atividade de grava√ß√£o [%]","Atividade total [%]","Taxa de leituras [MB/s]","Taxa de grava√ß√µes [MB/s]","Leia total [MB]","Gravar total [MB]","Temperatura GPU [¬∞C]","GPU Core Voltage (VDDCR_GFX) [V]","GPU Clock [MHz]","Rel√≥gio de mem√≥ria GPU [MHz]","GPU SoC Rel√≥gio [MHz]","GPU VCN Rel√≥gio [MHz]","Utiliza√ß√£o de GPU [%]","Utiliza√ß√£o de D3D GPU [%]","Utiliza√ß√µes de D3D GPU (avg) [%]","GPU Video Decode 0 Uso [%]","GPU Computing (High Priority Compute) Uso [%]","GPU Computing (Compute 0) Uso [%]","GPU Computing (Compute 1) Uso [%]","Mem√≥ria dedicada D3D GPU [MB]","Mem√≥ria din√¢mica D3D GPU [MB]","Velocidade do link PCIe [GT/s]","Uso de mem√≥ria GPU [MB]","Taxa de quadros [FPS]","Voltagem da bateria [V]","Capacidade restante [Wh]","N√≠vel de carga [%]","Taxa de carga [W]","N√≠vel de desgaste [%]","Tempo restante estimado [minutos]","Taxa de quadros Presented (avg) [FPS]","Taxa de quadros Presented (99%) [FPS]","Taxa de quadros Presented (1%) [FPS]","Taxa de quadros Presented (0.1%) [FPS]","Taxa de quadros Presented (1% low) [FPS]","Taxa de quadros Presented (0.1% low) [FPS]","Taxa de quadros Displayed (avg) [FPS]","Taxa de quadros Displayed (99%) [FPS]","Taxa de quadros Displayed (1%) [FPS]","Taxa de quadros Displayed (0.1%) [FPS]","Taxa de quadros Displayed (1% low) [FPS]","Taxa de quadros Displayed (0.1% low) [FPS]","Frame Time Presented (avg) [ms]","Frame Time Presented (99%) [ms]","Frame Time Presented (1%) [ms]","Frame Time Presented (0.1%) [ms]","Frame Time Displayed (1% high) [ms]","Frame Time Displayed (0.1% high) [ms]","GPU Busy (avg) [ms]","GPU Wait (avg) [ms]","CPU Busy (avg) [ms]","CPU Wait (avg) [ms]","Animation Error (avg) [ms]","Total download [MB]","Total upload [MB]","Taxa de download atual [KB/s]","Taxa de upload atual [KB/s]","Total de erros []",
16.6.2026,22:50:31.927,3907,9095,30.0,3299,2792,54.1,2.3,6912,156,1.034,1.044,1.031,1.031,1.031,2132.3,3693.3,1641.5,1641.5,1552.8,99.8,144.3,472.1,177.4,210.2,170.5,100.5,23.0,0.2,0.2,144.3,7.8,25.5,10.7,11.6,9.0,3.5,1.4,0.8,0.0,25.5,7.8,6.6,22.0,8.1,9.6,7.6,4.3,1.0,0.0,0.0,6.6,21.4,37.0,16.4,16.4,15.6,1197.8,12.00,17,17,17,39,56,421,2,51.0,45.8,43.8,44.2,44.4,44.2,44.5,43.7,45.1,0.764,0.816,1.069,1.738,0.964,2.196,3.664,0.179,0.329,0.233,0.154,0.001,1.551,0.830,2.380,4.170,595.8,595.8,6.3,14.5,22.8,27.8,N„o,N„o,N„o,2700,43,82.0,100.0,N„o,N„o,42375,86073,0.2,4.6,4.8,0.010,0.069,19723,6313,43.0,0.681,200.0,400.0,199.0,0.0,25.0,1.9,0.0,0.0,0.0,0.0,0.0,113,42,8.0,110,0.0,7.850,12.442,70.9,-7.426,52.7,100.5,16.1,65.2,4.5,4.0,4.0,4.0,16.1,60.6,4.5,4.1,4.0,4.0,62.04,224.43,15.31,15.10,250.00,250.00,0.63,61.41,61.74,0.30,50.55,165,6,0.0,0.0,0,
16.6.2026,22:50:33.946,3911,9091,30.0,3307,2784,54.2,2.3,6912,156,0.984,0.825,1.050,1.150,0.912,2540.8,2770.0,3294.1,2635.2,1464.0,99.8,398.3,755.6,414.0,734.2,585.0,389.3,307.7,0.1,0.1,398.3,18.2,38.1,19.9,34.9,27.7,13.9,11.2,0.0,0.0,38.1,18.2,18.3,36.3,18.9,33.3,27.2,17.0,14.1,0.0,0.0,18.3,25.5,27.8,33.0,26.4,14.7,1197.8,12.00,17,17,17,39,56,421,2,48.2,45.8,43.8,44.8,45.2,45.0,45.1,43.8,45.6,0.776,0.800,1.050,2.844,0.935,2.282,4.932,0.412,0.549,0.667,0.431,0.001,2.437,0.786,3.223,4.174,560.6,560.6,6.5,17.8,21.6,27.8,N„o,N„o,N„o,2700,41,82.0,100.0,N„o,N„o,42375,86073,0.1,0.6,0.7,0.086,0.008,19723,6313,41.0,0.685,200.0,400.0,199.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,111,42,8.0,108,0.0,7.850,12.442,70.9,-4.812,52.7,155.1,23.2,63.9,4.2,3.8,3.7,3.7,23.2,60.6,4.3,3.8,3.8,3.8,43.06,235.88,15.56,15.43,268.06,268.06,0.92,42.12,42.77,0.29,36.59,165,6,0.0,0.0,0,
16.6.2026,22:50:35.907,3922,9080,30.1,3311,2779,54.3,2.3,6912,156,1.003,1.006,0.994,1.013,1.000,2751.3,2495.5,3119.4,2695.1,2695.1,99.8,362.5,666.2,703.9,481.6,365.5,333.4,241.5,66.4,41.6,362.5,17.8,32.2,31.3,26.1,19.2,16.5,10.7,3.8,2.9,32.2,17.8,17.1,30.3,32.9,23.7,17.3,16.6,11.1,2.9,1.7,17.0,27.6,25.0,31.2,27.0,27.0,1197.8,12.00,17,17,17,39,56,421,2,47.2,46.1,43.9,45.0,45.7,44.9,45.4,44.1,45.9,0.821,0.802,1.150,2.906,0.989,2.763,4.923,0.378,0.718,0.388,0.320,0.084,2.538,0.843,3.381,4.188,565.8,565.8,7.9,18.8,21.9,27.9,N„o,N„o,N„o,2700,41,82.0,100.0,N„o,N„o,42375,86073,2.0,1.6,3.6,2.361,1.711,19728,6316,43.0,0.683,200.0,400.0,199.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,109,42,8.0,107,0.0,7.850,12.434,70.9,-4.600,52.7,162.2,24.0,91.4,2.1,1.7,1.7,1.7,24.0,61.4,2.1,1.7,1.7,1.7,41.59,471.55,10.96,10.51,601.35,601.35,0.81,40.78,41.30,0.29,51.97,165,6,0.0,0.0,0,
16.6.2026,22:50:37.927,3943,9059,30.3,3351,2739,55.0,2.3,6912,156,0.984,0.994,0.900,1.000,1.044,2725.1,3144.3,2096.2,3144.3,2515.5,99.8,841.4,1282.7,722.7,886.6,1526.2,902.4,552.2,386.8,471.7,841.4,31.7,49.7,27.8,34.8,58.1,34.4,20.6,12.8,15.7,58.1,31.7,39.1,59.6,33.5,41.8,72.3,41.6,25.5,17.4,21.5,39.2,27.3,31.5,21.0,31.5,25.2,1197.8,12.00,17,17,17,39,56,421,2,54.4,47.2,44.1,47.2,47.1,48.5,46.9,46.4,47.9,0.901,0.819,1.006,5.480,1.320,4.502,8.711,0.990,0.952,1.714,0.745,0.551,5.089,1.154,6.242,4.219,625.6,625.6,12.9,29.0,24.6,28.1,N„o,N„o,N„o,2700,41,82.0,100.0,N„o,N„o,42375,86073,10.8,0.4,11.2,5.404,0.170,19737,6317,44.0,0.681,200.0,400.0,199.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,109,42,8.0,107,0.0,7.850,12.434,70.9,-10.990,52.7,67.9,25.2,69.1,2.5,2.0,2.0,2.0,25.1,61.2,2.5,2.0,2.0,2.0,39.69,399.87,14.36,14.22,498.80,498.80,0.85,38.84,39.34,0.35,44.66,165,6,0.0,0.0,0,
16.6.2026,22:50:40.021,3966,9036,30.5,3367,2723,55.2,2.3,6912,156,0.994,0.988,0.988,1.000,1.000,3013.3,2695.1,3119.4,3119.4,3119.4,99.8,759.0,1138.3,624.6,1035.3,875.8,911.6,698.2,475.8,312.1,759.0,29.0,46.5,24.4,41.2,34.6,33.9,26.3,15.3,10.0,46.5,29.0,35.4,54.4,29.0,48.4,41.0,42.7,32.1,21.7,14.0,35.4,30.2,27.0,31.2,31.2,31.2,1197.8,12.00,17,17,17,39,56,421,2,52.1,47.6,44.7,47.4,47.5,47.8,47.6,46.7,48.0,0.866,0.814,1.000,5.151,1.224,5.016,7.884,0.867,0.862,1.011,0.982,0.613,4.692,1.073,5.765,4.260,608.7,608.7,14.3,27.1,27.4,28.4,N„o,N„o,N„o,2700,41,82.0,100.0,N„o,N„o,42375,86073,1.3,0.4,1.7,0.926,0.100,19739,6317,44.0,0.681,200.0,400.0,199.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,109,43,8.0,111,0.0,7.850,12.426,70.8,-4.921,52.7,151.5,28.1,103.4,3.0,2.3,2.2,2.2,28.1,61.9,3.0,2.3,2.2,2.2,35.52,336.84,9.67,8.53,450.48,450.48,1.21,34.31,35.20,0.33,36.53,165,6,0.0,0.0,0,
16.6.2026,22:50:41.924,3964,9038,30.4,3354,2736,55.0,2.3,6912,156,0.889,0.713,1.006,1.000,0.838,2788.7,2395.7,2495.5,3119.4,3144.3,99.8,682.4,966.0,653.7,863.4,664.4,773.3,607.7,511.1,420.1,682.4,26.3,40.1,25.7,35.1,25.9,29.5,22.0,17.5,14.4,40.1,26.3,32.0,45.2,30.7,40.5,31.3,36.7,28.1,23.7,19.4,32.0,27.9,24.0,25.0,31.2,31.5,1197.8,12.00,17,17,17,39,56,421,2,59.5,48.2,45.3,47.9,48.3,48.3,48.1,47.1,48.5,0.836,0.804,1.006,4.734,1.146,5.433,7.211,0.829,0.893,0.882,0.968,0.572,4.331,0.996,5.327,4.302,579.8,579.8,15.5,25.7,29.7,28.7,N„o,N„o,N„o,2700,42,82.0,100.0,N„o,N„o,42375,86073,0.5,1.0,1.5,0.271,0.435,19740,6318,44.0,0.681,200.0,400.0,199.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,109,42,8.0,107,0.0,7.850,12.418,70.8,-5.141,52.7,144.9,15.9,83.1,2.3,2.1,2.1,2.1,15.8,60.4,2.3,2.1,2.1,2.1,63.05,443.72,11.98,11.84,483.57,483.57,1.35,61.69,62.70,0.34,63.58,165,6,0.0,0.0,0,
16.6.2026,22:50:43.913,3965,9037,30.4,3352,2738,55.0,2.3,6912,156,0.980,1.269,1.225,0.713,0.713,1580.5,1641.5,1397.5,1641.5,1641.5,99.8,254.9,471.2,251.8,339.2,202.2,152.6,44.3,290.5,287.5,254.9,7.8,17.0,11.3,9.2,5.4,4.0,0.9,7.5,6.6,17.0,7.8,11.8,19.9,11.5,14.9,8.9,7.1,2.9,14.6,14.4,11.8,15.8,16.4,14.0,16.4,16.4,1197.8,12.00,17,17,17,39,56,421,2,56.8,47.9,45.2,47.6,47.5,48.4,46.8,47.8,47.7,0.857,0.864,1.269,3.966,1.169,3.689,3.824,0.454,0.573,0.600,0.163,0.482,4.073,1.092,5.164,4.318,725.4,725.4,10.5,24.7,28.2,28.8,N„o,N„o,N„o,2700,44,82.0,100.0,N„o,N„o,42375,86073,0.0,1.6,1.7,0.008,0.136,19740,6318,44.0,0.681,200.0,400.0,199.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,109,42,8.0,107,0.0,7.850,12.410,70.7,-4.019,52.7,185.3,15.9,83.1,2.3,2.1,2.1,2.1,15.8,60.4,2.3,2.1,2.1,2.1,63.05,443.72,11.98,11.84,483.57,483.57,1.35,61.69,62.70,0.34,63.58,165,6,0.1,0.0,0,
16.6.2026,22:50:45.934,3965,9037,30.4,3352,2738,55.0,2.3,6912,156,1.156,1.069,1.281,1.250,1.025,1949.8,1641.5,1641.5,2874.8,1641.5,99.8,354.5,940.8,805.1,456.2,341.2,158.3,115.2,9.6,9.2,354.5,14.2,39.0,33.3,17.4,15.4,5.2,3.6,0.0,0.0,39.0,14.2,16.3,44.4,37.9,21.4,15.9,7.0,4.1,0.0,0.0,16.3,19.5,16.4,16.4,28.8,16.4,1197.8,12.00,17,17,17,39,56,421,2,53.9,47.2,44.9,46.2,46.9,46.4,46.3,45.4,46.9,0.852,0.794,1.269,2.946,0.957,2.578,5.409,0.497,1.139,0.583,0.252,0.013,2.699,0.799,3.498,4.325,547.2,547.2,7.4,19.2,25.8,28.8,N„o,N„o,N„o,2700,41,82.0,100.0,N„o,N„o,42375,86073,0.0,0.9,0.9,0.000,0.107,19740,6318,44.0,0.681,200.0,400.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109,42,8.0,107,0.0,7.850,12.410,70.7,-6.648,52.7,112.0,15.9,83.1,2.3,2.1,2.1,2.1,15.8,60.4,2.3,2.1,2.1,2.1,63.05,443.72,11.98,11.84,483.57,483.57,1.35,61.69,62.70,0.34,63.58,165,6,0.0,0.0,0,
16.6.2026,22:50:47.947,3973,9029,30.5,3363,2727,55.2,2.3,6912,156,1.078,1.075,1.075,1.275,0.887,2154.4,1641.5,1641.5,3693.3,1641.5,99.8,380.8,521.7,1135.0,402.4,543.7,187.6,254.0,1.0,0.9,380.8,14.0,16.9,37.9,16.0,21.2,7.3,9.6,1.4,1.4,37.9,14.0,18.1,24.4,53.8,18.9,25.4,8.7,12.7,0.5,0.5,18.1,21.6,16.4,16.4,37.0,16.4,1197.8,12.00,17,17,17,39,56,421,2,61.6,48.7,45.3,47.5,49.6,47.2,47.4,45.8,47.9,1.001,0.881,1.294,3.880,1.232,3.531,7.153,0.730,1.714,0.784,0.408,0.014,4.346,1.153,5.499,4.348,763.4,763.4,10.1,25.5,26.4,29.0,N„o,N„o,N„o,2700,41,82.0,100.0,N„o,N„o,42375,86073,0.0,1.4,1.4,0.000,0.102,19740,6318,45.0,0.680,200.0,400.0,199.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,110,42,8.0,107,0.0,7.850,12.410,70.7,-12.355,52.7,60.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,5546.45,5546.45,5546.45,5546.45,5546.45,5546.45,1.25,5545.66,5546.29,0.16,5527.89,165,6,0.0,0.0,0,
16.6.2026,22:50:49.982,3972,9030,30.5,3368,2722,55.2,2.3,6912,156,1.020,1.069,1.087,1.087,0.838,2667.4,3693.3,3693.3,1641.5,1641.5,99.8,355.8,511.4,656.4,1017.5,578.4,39.8,39.9,1.3,1.5,355.8,13.3,19.4,27.3,34.7,24.4,0.8,0.0,0.0,0.0,34.7,13.3,16.0,24.1,31.2,39.8,29.0,1.7,1.8,0.1,0.1,16.0,26.7,37.0,37.0,16.4,16.4,1197.8,12.00,17,17,17,39,56,421,2,58.4,47.1,45.1,46.3,46.7,46.7,46.1,45.6,46.8,0.856,0.791,1.288,2.574,0.896,2.773,4.491,0.455,0.738,1.013,0.067,0.002,2.445,0.745,3.189,4.366,537.2,537.2,7.9,17.9,25.7,29.1,N„o,N„o,N„o,2700,41,82.0,100.0,N„o,N„o,42375,86073,0.0,2.8,2.8,0.007,0.087,19740,6319,44.0,0.681,200.0,400.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110,42,8.0,107,0.0,7.850,12.403,70.7,-5.597,52.7,132.9,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,5546.45,5546.45,5546.45,5546.45,5546.45,5546.45,1.25,5545.66,5546.29,0.16,5527.89,165,6,0.0,0.0,0,
