Date,Time,"Mem√≥ria virtual comprometida [MB]","Mem√≥ria virtual dispon√≠vel [MB]","Carga da mem√≥ria virtual [%]","Mem√≥ria f√≠sica utilizada [MB]","Mem√≥ria f√≠sica dispon√≠vel [MB]","Carga da mem√≥ria f√≠sica [%]","Utiliza√ß√£o do arquivo de pagina√ß√£o [%]","Page File Total [MB]","Page File Used [MB]","Core VIDs (avg) [V]","Core 0 VID [V]","Core 1 VID [V]","Core 2 VID [V]","Core 3 VID [V]","Rel√≥gios n√∫cleo (avg) [MHz]","Core 0 Rel√≥gio [MHz]","Core 1 Rel√≥gio [MHz]","Core 2 Rel√≥gio [MHz]","Core 3 Rel√≥gio (perf #1) [MHz]","Rel√≥gio de barramento [MHz]","Rel√≥gios efetivos n√∫cleo (avg) [MHz]","Core 0 T0 Rel√≥gio efetivo [MHz]","Core 0 T1 Rel√≥gio efetivo [MHz]","Core 1 T0 Rel√≥gio efetivo [MHz]","Core 1 T1 Rel√≥gio efetivo [MHz]","Core 2 T0 Rel√≥gio efetivo [MHz]","Core 2 T1 Rel√≥gio efetivo [MHz]","Core 3 T0 Rel√≥gio efetivo [MHz]","Core 3 T1 Rel√≥gio efetivo [MHz]","Rel√≥gio efetivo m√©dio [MHz]","Uso do n√∫cleo (avg) [%]","Core 0 T0 Uso [%]","Core 0 T1 Uso [%]","Core 1 T0 Uso [%]","Core 1 T1 Uso [%]","Core 2 T0 Uso [%]","Core 2 T1 Uso [%]","Core 3 T0 Uso [%]","Core 3 T1 Uso [%]","Uso m√°ximo de CPU / thread [%]","Uso total da CPU [%]","Utiliza√ß√£o do n√∫cleo (avg) [%]","Core 0 T0 Utiliza√ß√£o [%]","Core 0 T1 Utiliza√ß√£o [%]","Core 1 T0 Utiliza√ß√£o [%]","Core 1 T1 Utiliza√ß√£o [%]","Core 2 T0 Utiliza√ß√£o [%]","Core 2 T1 Utiliza√ß√£o [%]","Core 3 T0 Utiliza√ß√£o [%]","Core 3 T1 Utiliza√ß√£o [%]","Utiliza√ß√£o total da CPU [%]","Rela√ß√£o do rel√≥gio do n√∫cleo (avg) [x]","Core 0 Rela√ß√£o [x]","Core 1 Rela√ß√£o [x]","Core 2 Rela√ß√£o [x]","Core 3 Rela√ß√£o [x]","Rel√≥gio da mem√≥ria [MHz]","Rela√ß√£o do rel√≥gio da mem√≥ria [x]","Tcas [T]","Trcd [T]","Trp [T]","Tras [T]","Trc [T]","Trfc [T]","Command Rate [T]","CPU (Tctl/Tdie) [¬∞C]","CPU SOC [¬∞C]","APU GFX [¬∞C]","Temperaturas centrais (avg) [¬∞C]","Core0 [¬∞C]","Core1 [¬∞C]","Core2 [¬∞C]","Core3 [¬∞C]","L3 Cache [¬∞C]","Tens√£o do n√∫cleo da CPU (SVI2 TFN) [V]","SoC Voltagem (SVI2 TFN) [V]","CPU Core VID (Effective) [V]","Corrente do n√∫cleo da CPU (SVI2 TFN) [A]","Corrente do SoC (SVI2 TFN) [A]","CPU TDC [A]","Pot√™ncia total da CPU [W]","Pot√™ncia dos n√∫cleos (avg) [W]","Core 0 Pot√™ncia [W]","Core 1 Pot√™ncia [W]","Core 2 Pot√™ncia [W]","Core 3 Pot√™ncia [W]","CPU Pot√™ncia do n√∫cleo (SVI2 TFN) [W]","Pot√™ncia da SoC CPU (SVI2 TFN) [W]","Core+SoC Pot√™ncia (SVI2 TFN) [W]","APU STAPM [W]","Infinity Fabric Rel√≥gio (FCLK) [MHz]","Rel√≥gio do controlador de mem√≥ria (UCLK) [MHz]","Limite de CPU TDC [%]","CPU PPT FAST Limit [%]","CPU PPT SLOW Limit [%]","APU STAPM Limit [%]","Estrangulamento t√©rmico (HTC) [Yes/No]","Estrangulamento t√©rmico (PROCHOT CPU) [Yes/No]","Estrangulamento t√©rmico (PROCHOT EXT) [Yes/No]","CPU [RPM]","Temperatura do disco [¬∞C]","Vida restante do disco [%]","Reserva dispon√≠vel do disco [%]","Falha de disco [Yes/No]","Aviso de disco [Yes/No]","Total de grava√ß√µes de host [GB]","Total de leituras de host [GB]","Atividade de leitura [%]","Atividade de grava√ß√£o [%]","Atividade total [%]","Taxa de leituras [MB/s]","Taxa de grava√ß√µes [MB/s]","Leia total [MB]","Gravar total [MB]","Temperatura GPU [¬∞C]","GPU Core Voltage (VDDCR_GFX) [V]","GPU Clock [MHz]","Rel√≥gio de mem√≥ria GPU [MHz]","GPU SoC Rel√≥gio [MHz]","GPU VCN Rel√≥gio [MHz]","Utiliza√ß√£o de GPU [%]","Utiliza√ß√£o de D3D GPU [%]","Utiliza√ß√µes de D3D GPU (avg) [%]","GPU Video Decode 0 Uso [%]","GPU Computing (High Priority Compute) Uso [%]","GPU Computing (Compute 0) Uso [%]","GPU Computing (Compute 1) Uso [%]","Mem√≥ria dedicada D3D GPU [MB]","Mem√≥ria din√¢mica D3D GPU [MB]","Velocidade do link PCIe [GT/s]","Uso de mem√≥ria GPU [MB]","Taxa de quadros [FPS]","Voltagem da bateria [V]","Capacidade restante [Wh]","N√≠vel de carga [%]","Taxa de carga [W]","N√≠vel de desgaste [%]","Taxa de quadros Presented (avg) [FPS]","Taxa de quadros Presented (99%) [FPS]","Taxa de quadros Presented (1%) [FPS]","Taxa de quadros Presented (0.1%) [FPS]","Taxa de quadros Presented (1% low) [FPS]","Taxa de quadros Presented (0.1% low) [FPS]","Taxa de quadros Displayed (avg) [FPS]","Taxa de quadros Displayed (99%) [FPS]","Taxa de quadros Displayed (1%) [FPS]","Taxa de quadros Displayed (0.1%) [FPS]","Taxa de quadros Displayed (1% low) [FPS]","Taxa de quadros Displayed (0.1% low) [FPS]","Frame Time Presented (avg) [ms]","Frame Time Presented (99%) [ms]","Frame Time Presented (1%) [ms]","Frame Time Presented (0.1%) [ms]","Frame Time Displayed (1% high) [ms]","Frame Time Displayed (0.1% high) [ms]","GPU Busy (avg) [ms]","GPU Wait (avg) [ms]","CPU Busy (avg) [ms]","CPU Wait (avg) [ms]","Animation Error (avg) [ms]","Total download [MB]","Total upload [MB]","Taxa de download atual [KB/s]","Taxa de upload atual [KB/s]","Total de erros []",
21.6.2026,21:13:16.005,4188,8815,32.2,3327,2764,54.6,2.8,6912,191,1.005,1.044,1.006,0.912,1.056,2554.1,3144.3,2176.1,2720.1,2176.1,99.8,114.4,226.6,138.8,109.9,29.1,182.2,28.2,113.1,87.5,114.4,4.6,8.2,5.0,4.4,1.4,6.7,1.5,5.5,3.7,8.2,4.6,5.0,10.4,5.8,4.7,1.2,8.0,1.1,5.0,3.8,5.0,25.6,31.5,21.8,27.2,21.8,1197.8,12.00,17,17,17,39,56,421,2,51.2,50.8,49.2,49.4,49.7,49.3,49.9,48.7,50.3,0.785,0.829,1.013,2.294,1.121,2.113,5.028,0.229,0.331,0.139,0.214,0.232,2.076,0.972,3.048,5.223,774.6,774.6,6.0,18.7,28.9,38.7,N„o,N„o,N„o,3700,46,82.0,100.0,N„o,N„o,42579,86467,0.0,0.0,0.0,0.016,0.004,91030,78397,48.0,0.680,200.0,933.0,199.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,142,38,8.0,148,0.0,7.850,17.544,100.0,0.000,52.7,6.0,58.4,1.9,1.9,1.9,1.9,6.0,53.5,1.9,1.9,1.9,1.9,166.44,523.16,17.09,15.21,533.20,533.20,0.48,165.95,166.24,0.20,83.87,1048,39,0.0,0.0,0,
21.6.2026,21:13:18.032,4188,8814,32.2,3324,2767,54.5,2.8,6912,191,1.008,1.044,1.000,0.994,0.994,2443.5,2079.6,2079.6,3119.4,2495.5,99.8,295.3,397.0,370.1,355.2,115.2,506.5,211.3,282.8,124.5,295.3,10.4,13.8,12.5,13.0,4.4,17.2,7.4,9.8,5.0,17.2,10.4,13.6,18.4,17.0,16.2,5.3,23.8,9.8,12.7,5.6,13.6,24.5,20.8,20.8,31.2,25.0,1197.8,12.00,17,17,17,39,56,421,2,52.0,51.3,49.1,50.3,50.7,50.3,50.9,49.4,51.2,0.891,0.845,1.006,4.535,1.343,3.707,7.735,0.637,0.772,0.524,0.755,0.499,4.355,1.176,5.531,5.237,831.5,831.5,10.6,28.9,29.2,38.8,N„o,N„o,N„o,3700,46,82.0,100.0,N„o,N„o,42579,86467,1.9,0.8,2.8,2.177,3.046,91034,78403,49.0,0.681,200.0,933.0,199.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,138,38,8.0,144,0.0,7.850,17.544,100.0,0.000,52.7,16.8,64.1,2.6,2.5,2.5,2.5,16.8,60.3,2.6,2.5,2.5,2.5,59.38,377.70,15.56,15.51,399.24,399.24,1.56,57.82,59.16,0.23,85.85,1048,39,0.0,0.0,0,
21.6.2026,21:13:20.036,4196,8806,32.2,3326,2764,54.6,2.8,6912,191,1.006,0.988,1.019,1.000,1.019,2696.4,3119.4,2555.4,2555.4,2555.4,99.8,301.2,266.2,114.0,782.2,146.9,500.7,303.0,173.8,123.0,301.2,10.1,9.5,3.9,24.7,4.9,17.0,9.8,6.6,4.8,24.7,10.1,13.8,11.6,5.1,36.8,6.6,23.3,14.0,7.9,5.5,13.8,27.0,31.2,25.6,25.6,25.6,1197.8,12.00,17,17,17,39,56,421,2,60.4,51.4,49.2,50.8,50.5,51.7,51.2,50.0,51.6,0.928,0.859,1.013,4.964,1.431,4.745,8.571,0.725,0.423,1.254,0.858,0.366,5.006,1.283,6.290,5.269,900.2,900.2,13.6,31.7,32.0,39.0,N„o,N„o,N„o,3600,48,82.0,100.0,N„o,N„o,42579,86467,4.2,5.9,10.1,1.093,1.070,91036,78405,48.0,0.681,200.0,933.0,497.0,0.0,38.0,2.0,0.0,0.0,0.0,0.0,0.0,141,38,8.0,147,0.0,7.850,17.544,100.0,0.000,52.7,12.9,61.7,2.4,2.4,2.4,2.4,12.9,60.3,2.5,2.4,2.4,2.4,77.63,409.17,16.16,16.13,418.56,418.56,1.59,76.03,77.44,0.19,69.19,1048,39,0.0,0.0,0,
21.6.2026,21:13:22.023,4196,8806,32.2,3329,2761,54.6,2.8,6912,191,0.966,0.894,0.981,0.994,0.994,2599.5,2079.6,3119.4,3119.4,2079.6,99.8,270.0,339.9,101.6,415.4,161.9,422.2,202.8,209.6,306.2,270.0,8.5,12.2,2.5,12.4,4.4,13.8,5.7,7.0,9.7,13.8,8.5,12.0,15.3,4.4,17.4,7.6,19.1,8.8,9.4,13.9,12.0,26.0,20.8,31.2,31.2,20.8,1197.8,12.00,17,17,17,39,56,421,2,57.5,51.1,49.1,50.2,50.1,50.4,50.8,49.6,51.2,0.931,0.846,1.000,4.746,1.346,4.585,7.974,0.585,0.491,0.610,0.674,0.567,4.539,1.181,5.719,5.295,841.3,841.3,13.1,29.7,33.0,39.2,N„o,N„o,N„o,3600,46,82.0,100.0,N„o,N„o,42579,86467,78.0,1.3,79.2,8.639,0.110,91053,78405,49.0,0.681,200.0,933.0,289.0,0.0,49.0,2.1,0.0,0.0,0.0,0.0,0.0,141,38,8.0,147,0.0,7.850,17.544,100.0,0.000,52.7,24.6,63.4,2.0,1.7,1.6,1.6,24.6,60.5,2.0,1.7,1.6,1.6,40.70,488.75,15.75,15.73,616.91,616.91,0.58,40.13,40.50,0.21,48.45,1048,39,0.0,0.0,0,
21.6.2026,21:13:24.028,4269,8733,32.8,3390,2700,55.6,2.8,6912,191,1.053,1.013,1.094,1.094,1.013,2448.9,2129.5,2555.4,2555.4,2555.4,99.8,542.3,603.3,300.3,639.8,567.2,473.2,616.5,701.2,437.1,542.3,18.1,21.4,11.0,21.9,18.9,15.5,19.2,22.5,14.6,22.5,18.1,25.3,28.2,13.9,31.6,25.8,22.1,28.4,32.5,20.0,25.3,24.5,21.3,25.6,25.6,25.6,1197.8,12.00,17,17,17,39,56,421,2,55.9,52.5,49.4,52.3,52.0,52.8,52.3,51.9,52.6,0.938,0.922,1.081,6.133,1.702,6.393,10.151,1.050,0.956,1.089,1.053,1.104,6.089,1.633,7.721,5.346,952.6,952.6,18.3,37.6,37.4,39.6,N„o,N„o,N„o,3600,46,82.0,100.0,N„o,N„o,42579,86467,0.4,0.5,1.0,0.476,0.661,91054,78406,46.0,0.681,200.0,933.0,226.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,152,45,8.0,158,0.0,7.850,17.544,100.0,0.000,52.7,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,684.24,684.24,684.24,684.24,684.24,684.24,0.70,683.49,684.04,0.20,672.73,1048,39,0.0,0.0,0,
21.6.2026,21:13:26.020,4232,8770,32.5,3355,2735,55.0,2.8,6912,191,1.011,1.188,1.019,0.919,0.919,2482.3,1619.3,2770.0,2770.0,2770.0,99.8,363.4,415.5,184.0,363.8,179.8,877.1,175.9,510.6,200.3,363.4,11.5,14.6,4.6,12.0,5.9,27.4,5.1,15.9,6.3,27.4,11.5,16.8,19.2,8.1,16.8,8.3,41.1,7.7,23.8,9.1,16.8,24.9,16.2,27.8,27.8,27.8,1197.8,12.00,17,17,17,39,56,421,2,54.6,52.0,49.3,51.4,51.4,51.1,52.1,51.0,52.2,0.953,0.900,1.262,5.521,1.500,4.807,9.294,0.852,0.682,0.674,1.244,0.806,5.545,1.399,6.944,5.373,937.6,937.6,13.7,34.4,36.9,39.8,N„o,N„o,N„o,3700,46,82.0,100.0,N„o,N„o,42579,86467,0.4,0.5,0.9,0.207,0.413,91054,78407,46.0,0.682,200.0,1200.0,207.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,141,38,8.0,147,0.0,7.850,17.544,100.0,0.000,52.7,33.7,65.6,5.7,5.1,5.0,5.0,33.6,60.2,5.7,5.1,5.0,5.0,29.67,175.68,15.29,15.29,199.13,199.13,1.16,28.50,29.42,0.25,38.90,1048,39,0.2,0.0,0,
21.6.2026,21:13:28.028,4222,8780,32.4,3350,2740,55.0,2.8,6912,191,1.008,1.013,1.006,1.006,1.006,2608.6,2129.5,3194.2,2555.4,2555.4,99.8,122.8,190.0,113.8,118.7,17.3,98.9,86.6,238.4,118.5,122.8,5.0,6.5,4.4,5.4,1.4,5.6,3.7,8.6,4.3,8.6,5.0,5.5,8.5,4.9,5.5,0.7,4.4,3.8,10.7,5.1,5.5,26.1,21.3,32.0,25.6,25.6,1197.8,12.00,17,17,17,39,56,421,2,52.2,50.8,49.1,49.5,49.7,49.5,49.7,49.1,50.3,0.750,0.803,1.025,2.072,1.019,3.714,4.645,0.239,0.284,0.148,0.176,0.347,1.932,0.847,2.779,5.394,734.9,734.9,10.6,17.4,35.5,40.0,N„o,N„o,N„o,3800,46,82.0,100.0,N„o,N„o,42579,86467,0.3,0.3,0.6,0.249,0.115,91055,78407,49.0,0.680,200.0,933.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141,38,8.0,147,0.0,7.850,17.544,100.0,0.000,52.7,33.7,65.6,5.7,5.1,5.0,5.0,33.6,60.2,5.7,5.1,5.0,5.0,29.67,175.68,15.29,15.29,199.13,199.13,1.16,28.50,29.42,0.25,38.90,1048,39,0.2,0.0,0,
21.6.2026,21:13:30.026,4268,8735,32.8,3371,2719,55.3,2.8,6912,191,1.014,1.019,1.019,1.006,1.013,2377.0,2112.9,2112.9,3169.3,2112.9,99.8,846.8,1034.9,479.6,387.1,104.5,2155.0,1318.4,818.4,476.0,846.8,26.6,34.9,15.6,13.1,2.8,64.4,39.7,27.4,15.2,64.4,26.6,39.9,49.0,22.5,17.9,4.8,102.3,62.5,38.4,21.8,39.9,23.8,21.2,21.2,31.8,21.2,1197.8,12.00,17,17,17,39,56,421,2,61.8,54.5,49.6,55.4,56.5,52.9,58.6,53.6,55.0,1.104,0.870,1.019,9.811,1.683,6.650,14.809,1.990,1.764,0.792,3.909,1.496,10.871,1.499,12.370,5.436,982.4,982.4,19.0,55.0,38.3,40.3,N„o,N„o,N„o,3800,51,82.0,100.0,N„o,N„o,42579,86467,18.8,6.1,24.9,13.530,1.112,91081,78409,50.0,0.680,200.0,933.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141,38,8.0,147,0.0,7.850,17.544,100.0,0.000,52.7,33.7,65.6,5.7,5.1,5.0,5.0,33.6,60.2,5.7,5.1,5.0,5.0,29.67,175.68,15.29,15.29,199.13,199.13,1.16,28.50,29.42,0.25,38.90,1048,39,16.1,13.7,0,
21.6.2026,21:13:32.049,4292,8710,33.0,3409,2682,55.9,2.8,6912,191,0.917,1.006,0.887,0.887,0.887,2597.4,3169.3,2062.9,3094.4,2062.9,99.8,547.6,768.4,273.0,230.5,120.6,857.5,1140.6,390.8,599.3,547.6,17.1,24.3,8.6,8.3,5.0,26.0,32.7,13.0,18.6,32.7,17.1,25.7,36.5,12.3,10.6,5.6,40.1,54.2,18.0,28.1,25.7,26.0,31.8,20.7,31.0,20.7,1197.8,12.00,17,17,17,39,56,421,2,60.9,54.9,50.3,55.1,56.2,52.6,57.4,54.3,55.4,1.133,0.874,1.006,8.323,1.563,8.680,13.303,1.620,1.637,0.410,2.880,1.554,9.548,1.403,10.950,5.524,986.4,986.4,24.8,49.5,46.7,40.9,N„o,N„o,N„o,3800,44,82.0,100.0,N„o,N„o,42579,86467,2.3,1.1,3.4,3.026,1.856,91087,78413,50.0,0.680,200.0,933.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141,38,8.0,147,0.0,7.850,17.544,100.0,0.000,52.7,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,6645.12,6645.12,6645.12,6645.12,6645.12,6645.12,1.23,6644.05,6644.91,0.20,6626.98,1048,39,2.6,7.6,0,
21.6.2026,21:13:34.036,4289,8713,32.9,3420,2670,56.1,2.8,6912,191,1.117,1.212,0.975,1.019,1.262,2722.2,2229.3,3368.9,3693.3,1597.1,99.8,384.0,263.9,128.3,918.5,1034.3,286.6,47.4,247.4,146.0,384.0,10.0,9.3,3.4,25.3,22.9,3.5,1.4,8.6,5.8,25.3,10.0,15.7,11.4,5.6,43.7,37.8,4.8,2.4,12.9,7.1,15.7,27.3,22.3,33.8,37.0,16.0,1197.8,12.00,17,17,17,39,56,421,2,59.2,52.6,50.2,52.3,51.1,54.8,51.2,52.0,52.6,0.983,0.838,1.150,4.694,1.266,5.880,8.600,0.845,0.420,2.078,0.394,0.491,5.221,1.103,6.324,5.572,788.2,788.2,16.8,31.8,46.1,41.3,N„o,N„o,N„o,3900,44,82.0,100.0,N„o,N„o,42579,86467,0.8,0.5,1.2,0.421,0.660,91088,78414,50.0,0.680,200.0,933.0,199.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,142,38,8.0,147,0.0,7.850,17.544,100.0,0.000,52.7,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,6645.12,6645.12,6645.12,6645.12,6645.12,6645.12,1.23,6644.05,6644.91,0.20,6626.98,1048,39,0.4,1.4,0,
