Date,Time,"Mem√≥ria virtual comprometida [MB]","Mem√≥ria virtual dispon√≠vel [MB]","Carga da mem√≥ria virtual [%]","Mem√≥ria f√≠sica utilizada [MB]","Mem√≥ria f√≠sica dispon√≠vel [MB]","Carga da mem√≥ria f√≠sica [%]","Utiliza√ß√£o do arquivo de pagina√ß√£o [%]","Page File Total [MB]","Page File Used [MB]","Core VIDs (avg) [V]","Core 0 VID [V]","Core 1 VID [V]","Core 2 VID [V]","Core 3 VID [V]","Rel√≥gios n√∫cleo (avg) [MHz]","Core 0 Rel√≥gio [MHz]","Core 1 Rel√≥gio [MHz]","Core 2 Rel√≥gio [MHz]","Core 3 Rel√≥gio (perf #1) [MHz]","Rel√≥gio de barramento [MHz]","Rel√≥gios efetivos n√∫cleo (avg) [MHz]","Core 0 T0 Rel√≥gio efetivo [MHz]","Core 0 T1 Rel√≥gio efetivo [MHz]","Core 1 T0 Rel√≥gio efetivo [MHz]","Core 1 T1 Rel√≥gio efetivo [MHz]","Core 2 T0 Rel√≥gio efetivo [MHz]","Core 2 T1 Rel√≥gio efetivo [MHz]","Core 3 T0 Rel√≥gio efetivo [MHz]","Core 3 T1 Rel√≥gio efetivo [MHz]","Rel√≥gio efetivo m√©dio [MHz]","Uso do n√∫cleo (avg) [%]","Core 0 T0 Uso [%]","Core 0 T1 Uso [%]","Core 1 T0 Uso [%]","Core 1 T1 Uso [%]","Core 2 T0 Uso [%]","Core 2 T1 Uso [%]","Core 3 T0 Uso [%]","Core 3 T1 Uso [%]","Uso m√°ximo de CPU / thread [%]","Uso total da CPU [%]","Utiliza√ß√£o do n√∫cleo (avg) [%]","Core 0 T0 Utiliza√ß√£o [%]","Core 0 T1 Utiliza√ß√£o [%]","Core 1 T0 Utiliza√ß√£o [%]","Core 1 T1 Utiliza√ß√£o [%]","Core 2 T0 Utiliza√ß√£o [%]","Core 2 T1 Utiliza√ß√£o [%]","Core 3 T0 Utiliza√ß√£o [%]","Core 3 T1 Utiliza√ß√£o [%]","Utiliza√ß√£o total da CPU [%]","Rela√ß√£o do rel√≥gio do n√∫cleo (avg) [x]","Core 0 Rela√ß√£o [x]","Core 1 Rela√ß√£o [x]","Core 2 Rela√ß√£o [x]","Core 3 Rela√ß√£o [x]","Rel√≥gio da mem√≥ria [MHz]","Rela√ß√£o do rel√≥gio da mem√≥ria [x]","Tcas [T]","Trcd [T]","Trp [T]","Tras [T]","Trc [T]","Trfc [T]","Command Rate [T]","CPU (Tctl/Tdie) [¬∞C]","CPU SOC [¬∞C]","APU GFX [¬∞C]","Temperaturas centrais (avg) [¬∞C]","Core0 [¬∞C]","Core1 [¬∞C]","Core2 [¬∞C]","Core3 [¬∞C]","L3 Cache [¬∞C]","Tens√£o do n√∫cleo da CPU (SVI2 TFN) [V]","SoC Voltagem (SVI2 TFN) [V]","CPU Core VID (Effective) [V]","Corrente do n√∫cleo da CPU (SVI2 TFN) [A]","Corrente do SoC (SVI2 TFN) [A]","CPU TDC [A]","Pot√™ncia total da CPU [W]","Pot√™ncia dos n√∫cleos (avg) [W]","Core 0 Pot√™ncia [W]","Core 1 Pot√™ncia [W]","Core 2 Pot√™ncia [W]","Core 3 Pot√™ncia [W]","CPU Pot√™ncia do n√∫cleo (SVI2 TFN) [W]","Pot√™ncia da SoC CPU (SVI2 TFN) [W]","Core+SoC Pot√™ncia (SVI2 TFN) [W]","APU STAPM [W]","Infinity Fabric Rel√≥gio (FCLK) [MHz]","Rel√≥gio do controlador de mem√≥ria (UCLK) [MHz]","Limite de CPU TDC [%]","CPU PPT FAST Limit [%]","CPU PPT SLOW Limit [%]","APU STAPM Limit [%]","Estrangulamento t√©rmico (HTC) [Yes/No]","Estrangulamento t√©rmico (PROCHOT CPU) [Yes/No]","Estrangulamento t√©rmico (PROCHOT EXT) [Yes/No]","CPU [RPM]","Temperatura do disco [¬∞C]","Vida restante do disco [%]","Reserva dispon√≠vel do disco [%]","Falha de disco [Yes/No]","Aviso de disco [Yes/No]","Total de grava√ß√µes de host [GB]","Total de leituras de host [GB]","Atividade de leitura [%]","Atividade de grava√ß√£o [%]","Atividade total [%]","Taxa de leituras [MB/s]","Taxa de grava√ß√µes [MB/s]","Leia total [MB]","Gravar total [MB]","Temperatura GPU [¬∞C]","GPU Core Voltage (VDDCR_GFX) [V]","GPU Clock [MHz]","Rel√≥gio de mem√≥ria GPU [MHz]","GPU SoC Rel√≥gio [MHz]","GPU VCN Rel√≥gio [MHz]","Utiliza√ß√£o de GPU [%]","Utiliza√ß√£o de D3D GPU [%]","Utiliza√ß√µes de D3D GPU (avg) [%]","GPU Video Decode 0 Uso [%]","GPU Computing (High Priority Compute) Uso [%]","GPU Computing (Compute 0) Uso [%]","GPU Computing (Compute 1) Uso [%]","Mem√≥ria dedicada D3D GPU [MB]","Mem√≥ria din√¢mica D3D GPU [MB]","Velocidade do link PCIe [GT/s]","Uso de mem√≥ria GPU [MB]","Taxa de quadros [FPS]","Voltagem da bateria [V]","Capacidade restante [Wh]","N√≠vel de carga [%]","Taxa de carga [W]","N√≠vel de desgaste [%]","Taxa de quadros Presented (avg) [FPS]","Taxa de quadros Presented (99%) [FPS]","Taxa de quadros Presented (1%) [FPS]","Taxa de quadros Presented (0.1%) [FPS]","Taxa de quadros Presented (1% low) [FPS]","Taxa de quadros Presented (0.1% low) [FPS]","Taxa de quadros Displayed (avg) [FPS]","Taxa de quadros Displayed (99%) [FPS]","Taxa de quadros Displayed (1%) [FPS]","Taxa de quadros Displayed (0.1%) [FPS]","Taxa de quadros Displayed (1% low) [FPS]","Taxa de quadros Displayed (0.1% low) [FPS]","Frame Time Presented (avg) [ms]","Frame Time Presented (99%) [ms]","Frame Time Presented (1%) [ms]","Frame Time Presented (0.1%) [ms]","Frame Time Displayed (1% high) [ms]","Frame Time Displayed (0.1% high) [ms]","GPU Busy (avg) [ms]","GPU Wait (avg) [ms]","CPU Busy (avg) [ms]","CPU Wait (avg) [ms]","Animation Error (avg) [ms]","Total download [MB]","Total upload [MB]","Taxa de download atual [KB/s]","Taxa de upload atual [KB/s]","Total de erros []",
21.6.2026,12:30:42.623,4233,8769,32.5,3827,2263,62.8,2.5,6912,176,0.745,0.750,0.744,0.744,0.744,1366.3,1272.7,1397.5,1397.5,1397.5,99.8,97.9,208.7,37.1,71.6,107.6,65.7,60.4,80.8,151.1,97.9,3.7,7.3,1.3,3.0,3.1,2.7,2.2,4.2,5.5,7.3,3.7,4.3,9.4,1.6,3.1,4.4,2.7,2.4,3.5,7.1,4.3,13.7,12.8,14.0,14.0,14.0,1197.8,12.00,17,17,17,39,56,421,2,53.1,52.9,51.2,51.2,50.9,50.7,51.8,51.4,52.3,0.737,0.835,1.025,1.914,1.082,2.255,4.575,0.188,0.239,0.180,0.133,0.199,1.690,0.943,2.633,6.576,756.5,756.5,6.4,16.9,33.4,48.7,N„o,N„o,N„o,4300,49,82.0,100.0,N„o,N„o,42513,86400,0.0,0.2,0.2,0.000,0.004,21503,11179,50.0,0.681,200.0,933.0,199.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,142,24,8.0,142,0.0,7.850,17.293,98.6,3.030,52.7,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,516.86,518.03,515.70,515.67,518.06,518.06,0.58,516.33,516.63,0.23,243.32,19,3,0.0,0.0,0,
21.6.2026,12:30:44.542,4217,8785,32.4,3817,2273,62.6,2.5,6912,176,0.989,0.994,0.988,0.988,0.988,2681.8,2062.9,2475.5,3094.4,3094.4,99.8,340.4,479.0,377.8,535.1,286.3,485.4,142.3,303.5,114.0,340.4,11.9,16.8,13.3,18.1,10.4,16.5,4.3,10.7,4.8,18.1,11.9,15.6,22.3,17.5,24.9,13.1,22.6,6.0,13.4,5.0,15.6,26.9,20.7,24.8,31.0,31.0,1197.8,12.00,17,17,17,39,56,421,2,53.8,53.1,50.7,52.0,52.1,51.8,52.3,51.8,52.8,0.897,0.846,1.006,4.779,1.374,3.085,7.972,0.651,0.782,0.789,0.640,0.391,4.555,1.203,5.759,6.566,836.5,836.5,8.8,29.8,30.8,48.6,N„o,N„o,N„o,4300,49,82.0,100.0,N„o,N„o,42513,86400,3.6,0.2,3.8,2.698,0.020,21508,11179,50.0,0.681,200.0,933.0,199.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,142,24,8.0,143,0.0,7.850,17.293,98.6,3.030,52.7,30.1,63.5,14.8,14.8,14.8,14.8,30.0,60.4,15.0,15.0,15.0,15.0,33.26,67.50,15.76,15.74,67.52,67.52,1.11,32.15,33.05,0.21,10.82,19,3,0.0,0.0,0,
21.6.2026,12:30:46.535,4219,8783,32.4,3822,2268,62.7,2.5,6912,176,1.006,0.875,1.050,1.050,1.050,2237.6,1464.0,2495.5,2495.5,2495.5,99.8,393.5,531.2,365.7,631.3,417.4,714.9,139.2,260.7,87.8,393.5,13.2,18.3,11.9,20.9,13.0,24.1,4.9,10.6,1.8,24.1,13.2,18.0,24.2,16.7,29.5,18.6,33.5,6.2,11.8,3.8,18.1,22.4,14.7,25.0,25.0,25.0,1197.8,12.00,17,17,17,39,56,421,2,63.6,53.9,50.8,53.1,53.1,53.1,53.8,52.4,53.8,0.926,0.871,1.006,5.564,1.555,5.546,9.366,0.887,0.835,1.072,1.138,0.503,5.573,1.414,6.987,6.595,893.0,893.0,15.8,34.7,34.6,48.9,N„o,N„o,N„o,4200,49,82.0,100.0,N„o,N„o,42513,86400,2.7,0.5,3.2,0.480,1.360,21509,11182,47.0,0.681,200.0,933.0,199.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,141,26,8.0,142,0.0,7.850,17.293,98.6,3.022,52.7,18.3,65.3,2.6,2.4,2.4,2.4,18.3,60.2,2.7,2.4,2.4,2.4,54.59,380.83,15.23,15.06,421.26,421.26,1.32,53.26,54.39,0.20,53.94,19,3,0.1,0.0,0,
21.6.2026,12:30:48.531,4219,8783,32.4,3818,2272,62.6,2.5,6912,176,0.967,0.900,1.006,0.969,0.994,2328.3,2079.6,2062.9,2475.5,2695.1,99.8,182.7,286.2,207.4,210.8,116.6,320.9,79.7,172.0,68.3,182.7,6.3,9.8,6.4,7.0,3.6,11.1,2.6,5.9,3.5,11.1,6.3,8.2,13.0,9.4,9.4,5.1,14.8,3.6,7.2,2.8,8.2,23.3,20.8,20.7,24.8,27.0,1197.8,12.00,17,17,17,39,56,421,2,60.5,52.6,50.6,51.0,51.1,50.6,51.6,50.9,52.2,0.896,0.847,1.006,3.563,1.306,4.302,6.665,0.354,0.451,0.312,0.438,0.216,3.298,1.148,4.446,6.607,819.1,819.1,12.3,24.8,34.5,48.9,N„o,N„o,N„o,4200,47,82.0,100.0,N„o,N„o,42513,86400,0.0,0.9,0.9,0.032,0.411,21509,11183,50.0,0.681,200.0,933.0,199.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,141,26,8.0,142,0.0,7.850,17.293,98.6,3.022,52.7,20.7,62.6,2.0,1.7,1.6,1.6,20.7,60.2,2.0,1.7,1.6,1.6,48.29,508.90,15.92,15.86,616.44,616.44,0.61,47.67,48.07,0.21,63.70,19,3,0.0,0.0,0,
21.6.2026,12:30:50.524,4290,8712,32.9,3875,2215,63.6,2.5,6912,176,1.000,1.050,0.981,0.988,0.981,2495.5,2495.5,2495.5,2495.5,2495.5,99.8,791.1,1665.4,473.5,968.2,614.3,743.4,545.8,729.1,588.9,791.1,26.4,53.4,15.9,31.3,21.7,25.8,18.0,25.6,19.5,53.4,26.4,37.2,78.5,22.1,45.5,28.9,35.0,25.5,34.4,27.5,37.2,25.0,25.0,25.0,25.0,25.0,1197.8,12.00,17,17,17,39,56,421,2,67.8,56.2,51.0,55.9,58.1,56.0,54.8,54.7,55.6,1.035,0.928,1.000,9.043,1.825,7.145,13.691,1.664,2.410,1.654,1.303,1.289,9.422,1.748,11.170,6.646,1043.2,1043.2,20.4,50.8,39.0,49.2,N„o,N„o,N„o,4300,47,82.0,100.0,N„o,N„o,42513,86400,0.6,0.3,0.9,0.518,0.187,21510,11183,51.0,0.681,200.0,933.0,199.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,152,33,8.0,152,0.0,7.850,17.293,98.6,3.014,52.7,18.8,61.3,6.0,5.8,5.8,5.8,19.1,60.2,6.2,6.0,6.0,6.0,53.10,166.74,16.34,16.34,172.06,172.06,1.81,51.30,52.87,0.23,40.78,19,3,0.0,0.0,0,
21.6.2026,12:30:52.529,4278,8724,32.9,3873,2217,63.5,2.5,6912,176,1.019,1.006,1.019,1.025,1.025,2641.1,3169.3,3169.3,2112.9,2112.9,99.8,425.1,551.2,415.5,692.3,398.3,273.1,146.2,702.7,221.7,425.1,13.3,18.5,13.7,21.3,11.9,8.0,4.5,22.6,5.9,22.6,13.3,19.6,25.1,19.0,32.4,18.0,12.5,6.8,33.1,10.1,19.6,26.5,31.8,31.8,21.2,21.2,1197.8,12.00,17,17,17,39,56,421,2,64.6,54.0,51.0,53.4,53.1,53.9,52.7,53.8,54.0,0.951,0.894,1.031,5.711,1.594,6.158,9.486,0.904,0.941,1.150,0.502,1.022,5.722,1.462,7.184,6.687,946.6,946.6,17.6,35.4,41.7,49.5,N„o,N„o,N„o,4300,49,82.0,100.0,N„o,N„o,42513,86400,0.3,0.7,1.0,0.582,0.188,21511,11183,48.0,0.682,200.0,1200.0,199.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,141,26,8.0,142,0.0,7.850,17.293,98.6,3.022,52.7,20.5,75.0,3.6,3.5,3.5,3.5,20.5,60.5,3.6,3.5,3.5,3.5,48.82,275.83,13.34,13.14,282.65,282.65,1.23,47.59,48.59,0.23,47.75,19,3,0.0,0.0,0,
21.6.2026,12:30:54.526,4245,8757,32.6,3860,2230,63.3,2.5,6912,176,0.956,1.081,0.750,1.256,0.738,1885.4,2874.8,1272.7,1696.9,1696.9,99.8,293.6,549.6,422.5,245.5,337.8,177.5,167.4,93.1,355.2,293.6,9.7,18.0,12.8,8.1,9.3,7.6,5.4,5.4,11.4,18.0,9.7,13.6,25.7,19.9,11.1,16.1,8.2,7.1,4.1,16.8,13.6,18.9,28.8,12.8,17.0,17.0,1197.8,12.00,17,17,17,39,56,421,2,71.5,54.1,51.0,53.3,53.0,54.2,52.3,53.7,53.6,0.886,0.835,1.069,4.472,1.227,5.997,8.040,0.713,0.922,0.874,0.378,0.678,4.726,1.065,5.791,6.722,815.4,815.4,17.1,29.7,42.9,49.8,N„o,N„o,N„o,4400,47,82.0,100.0,N„o,N„o,42513,86400,0.0,0.6,0.6,0.000,0.026,21511,11184,50.0,0.680,200.0,933.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141,26,8.0,142,0.0,7.850,17.301,98.6,3.022,52.7,20.5,75.0,3.6,3.5,3.5,3.5,20.5,60.5,3.6,3.5,3.5,3.5,48.82,275.83,13.34,13.14,282.65,282.65,1.23,47.59,48.59,0.23,47.75,19,3,0.0,0.0,0,
21.6.2026,12:30:56.537,4251,8751,32.6,3860,2230,63.3,2.5,6912,176,1.120,1.212,1.056,1.019,1.194,2335.4,2229.3,3368.9,1497.3,2245.9,99.8,467.1,119.2,605.3,1667.9,387.3,68.6,50.9,439.4,398.1,467.1,13.9,4.0,17.8,48.1,11.6,2.7,1.6,13.1,12.6,48.1,13.9,21.9,5.2,28.6,79.3,17.7,3.1,2.3,20.5,18.6,21.9,23.4,22.3,33.8,15.0,22.5,1197.8,12.00,17,17,17,39,56,421,2,68.4,54.6,50.9,55.2,54.0,59.1,52.3,55.5,55.6,1.121,0.854,1.075,7.438,1.383,5.676,12.249,1.404,0.889,3.171,0.270,1.288,8.766,1.206,9.973,6.743,914.5,914.5,16.2,45.6,41.9,49.9,N„o,N„o,N„o,4400,46,82.0,100.0,N„o,N„o,42513,86400,0.8,0.7,1.5,0.323,0.265,21512,11184,50.0,0.680,200.0,933.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141,26,8.0,142,0.0,7.850,17.301,98.6,3.014,52.7,20.5,75.0,3.6,3.5,3.5,3.5,20.5,60.5,3.6,3.5,3.5,3.5,48.82,275.83,13.34,13.14,282.65,282.65,1.23,47.59,48.59,0.23,47.75,19,3,0.0,0.0,0,
21.6.2026,12:30:58.558,4278,8724,32.9,3881,2210,63.7,2.5,6912,176,1.002,0.994,1.006,1.000,1.006,2486.8,2112.9,2129.5,2535.4,3169.3,99.8,514.0,701.7,579.3,1125.6,416.3,221.8,149.4,676.9,241.1,514.0,16.2,21.7,18.1,33.8,12.8,8.5,5.0,21.9,8.0,33.8,16.2,23.9,33.1,27.3,52.9,19.1,10.0,6.7,31.7,10.8,23.9,24.9,21.2,21.3,25.4,31.8,1197.8,12.00,17,17,17,39,56,421,2,65.5,55.7,51.3,55.7,56.1,57.6,53.6,55.4,56.2,1.102,0.928,1.000,7.723,1.726,7.572,12.626,1.430,2.088,1.877,0.498,1.256,8.597,1.642,10.238,6.804,1052.6,1052.6,21.6,46.8,47.0,50.4,N„o,N„o,N„o,4500,47,82.0,100.0,N„o,N„o,42513,86400,1.5,0.0,1.6,0.121,0.024,21512,11184,51.0,0.680,200.0,933.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141,25,8.0,142,0.0,7.850,17.301,98.6,3.014,52.7,20.5,75.0,3.6,3.5,3.5,3.5,20.5,60.5,3.6,3.5,3.5,3.5,48.82,275.83,13.34,13.14,282.65,282.65,1.23,47.59,48.59,0.23,47.75,19,3,0.0,0.0,0,
21.6.2026,12:31:0.561,4285,8717,32.9,3894,2196,63.9,2.5,6912,176,1.078,1.013,1.206,1.081,1.013,2526.0,1508.4,3368.9,3618.5,1608.2,99.8,383.1,160.0,89.0,1573.7,182.5,404.2,149.3,272.5,234.0,383.1,10.5,6.4,0.0,40.5,5.4,7.6,5.1,10.3,8.7,40.5,10.5,16.5,7.4,4.1,66.9,9.0,11.1,7.6,14.0,12.0,16.5,25.3,15.1,33.8,36.2,16.1,1197.8,12.00,17,17,17,39,56,421,2,62.2,53.5,51.1,53.2,51.9,55.2,52.4,53.3,53.7,0.936,0.830,1.025,4.545,1.249,5.495,8.243,0.853,0.302,1.939,0.624,0.548,4.953,1.083,6.036,6.835,777.3,777.3,15.7,30.6,45.8,50.6,N„o,N„o,N„o,4500,47,82.0,100.0,N„o,N„o,42513,86400,0.4,0.3,0.7,0.463,0.015,21513,11184,51.0,0.680,200.0,933.0,199.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,142,25,8.0,142,0.0,7.850,17.301,98.6,3.006,52.7,20.5,75.0,3.6,3.5,3.5,3.5,20.5,60.5,3.6,3.5,3.5,3.5,48.82,275.83,13.34,13.14,282.65,282.65,1.23,47.59,48.59,0.23,47.75,19,3,0.0,0.0,0,
